A' Chill,,,,populatedPlace,uk
A' Chrìon Làraich,gla,Crianlarich,eng,populatedPlace,uk
A' Glas Pheighinn,gla,Glasphein,eng,populatedPlace,uk
A' Mhointeach,gla,Moss,eng,populatedPlace,uk
A' Phairce Dhubh,gla,Blackpark,eng,populatedPlace,uk
Àird,,,,populatedPlace,uk
Àird,,,,populatedPlace,uk
Àird a' Mhulaidh,gla,Ardvourlie,eng,populatedPlace,uk
Àird Asaig,gla,Ardhasaig,eng,populatedPlace,uk
Àird Cumhang,,,,populatedPlace,uk
Àird Dhail,,,,populatedPlace,uk
Àird Mhìghe,,,,populatedPlace,uk
Àird Mhìghe,gla,Ardvey,eng,populatedPlace,uk
Àird Mhòr,gla,Ardmhor,eng,populatedPlace,uk
Àird Mhidhinis,,,,populatedPlace,uk
Àird nan Strùban,,,,populatedPlace,uk
Àird Shleibhe,,,,populatedPlace,uk
Àird Tobha,gla,Ardtoe,eng,populatedPlace,uk
Àird Uig,,,,populatedPlace,uk
Àrasaig,gla,Arisaig,eng,populatedPlace,uk
Àth-Tharracail,gla,Acharacle,eng,populatedPlace,uk
Aaron's Hill,,,,populatedPlace,uk
Ab Kettleby,,,,populatedPlace,uk
Ab Lench,,,,populatedPlace,uk
Abaty Cwm-hir,cym,Abbeycwmhir,eng,populatedPlace,uk
Abbas Combe,,,,populatedPlace,uk
Abberley,,,,populatedPlace,uk
Abberton,,,,populatedPlace,uk
Abberton,,,,populatedPlace,uk
Abbess Roding,,,,populatedPlace,uk
Abbey,,,,populatedPlace,uk
Abbey Dore,,,,populatedPlace,uk
Abbey End,,,,populatedPlace,uk
Abbey Fields,,,,populatedPlace,uk
Abbey Green,,,,populatedPlace,uk
Abbey Green,,,,populatedPlace,uk
Abbey Hulton,,,,populatedPlace,uk
Abbey Meads,,,,populatedPlace,uk
Abbey Parks,,,,populatedPlace,uk
Abbey St Bathans,,,,populatedPlace,uk
Abbey Village,,,,populatedPlace,uk
Abbey Wood,,,,populatedPlace,uk
Abbeydale,,,,populatedPlace,uk
Abbeydale,,,,populatedPlace,uk
Abbeydale,,,,populatedPlace,uk
Abbeydale Park,,,,populatedPlace,uk
Abbeyhill,,,,populatedPlace,uk
Abbeystead,,,,populatedPlace,uk
Abbeytown,,,,populatedPlace,uk
Abbotrule,,,,populatedPlace,uk
Abbots Bickington,,,,populatedPlace,uk
Abbots Bromley,,,,populatedPlace,uk
Abbots Langley,,,,populatedPlace,uk
