Isles,151
Loch,90
Flower (rev.),82
Bar,74
Town,51
V,40
Hunt (Type II),36
Modified Black Swan,34
Bay,26
Hunt (Type III),26
Hunt,25
P,25
Benson / Gleaves,24
Repeat Bogue,24
Colony,21
Dance,20
Hunt (Type I),20
Tree,20
D,19
Battle,18
Merchantile Conversion,17
O,17
Saint,17
Admiralty Modified W,16
Lake,16
MMS I,16
Kil,15
N,13
E,12
R,12
Shakespearian,12
Admiralty S,11
Auxiliary minelayers,11
F,11
I,11
Mersey,11
Net,11
Fish,10
G,10
H,10
Insect,10
Q,10
B,9
Empire Battleaxe,9
Military,9
Ca,8
Ch,8
Co,8
Cr,8
Hill,8
J,8
K,8
L,8
M,8
Round Table,8
W,8
Z,8
Treasury,7
Admiralty Leader,6
C,6
Charles Lawrence,6
West,6
Avenger / Charger,5
Dromedary,5
Trinculo,5
Wind,5
24,4
Axe,4
Caldwell,4
Cavendish,3
LST (Mk 1),3
Prince,3
Shakespeare,3
Burn,2
Dog,2
Hunt (Type IV),2
Long Island / Archer,2
M 1,2
Poultry,2
Prototype,2
Admiral,1
Admiralty R,1
Birmingham,1
Bourrasque,1
Chacal,1
Douwe Aukes,1
Elan,1
Florida,1
Jan van Amstel,1
Le Fantasque,1
PC,1
Panay,1
Sampson,1
Type VIIC,1
