birthplace,country
Co Cork,Ireland
Co Antrim,Ireland
Co Down,Ireland
Co Mayo,Ireland
Co Galway,Ireland
Co Tyrone,Ireland
Co Donegal,Ireland
Co Kerry,Ireland
Co Tipperary,Ireland
Co Armagh,Ireland
Co Clare,Ireland
Co Limerick,Ireland
Co Wexford,Ireland
Belfast,Ireland
Dublin City,Ireland
Co Cavan,Ireland
Co Dublin,Ireland
Co Roscommon,Ireland
Dublin,Ireland
Co Derry,Ireland
Co Monaghan,Ireland
Co Sligo,Ireland
Co Kilkenny,Ireland
Co Louth,Ireland
Co Meath,Ireland
Co Waterford,Ireland
Co Leitrim,Ireland
England,England
Co Wicklow,Ireland
Co Fermanagh,Ireland
Co Kildare,Ireland
Co Longford,Ireland
Queens Co,Ireland
Kings Co,Ireland
Kerry,Ireland
Tyrone,Ireland
Cork City,Ireland
County Cork,Ireland
Belfast City,Ireland
Co Carlow,Ireland
Co Westmeath,Ireland
County Down,Ireland
Scotland,Scotland
City of Dublin,Ireland
Antrim,Ireland
County Antrim,Ireland
Westmeath,Ireland
City Dublin,Ireland
Tipperary,Ireland
Donegal,Ireland
Mayo,Ireland
Roscommon,Ireland
Fermanagh,Ireland
Cork,Ireland
Queens County,Ireland
Armagh,Ireland
Co Londonderry,Ireland
Queen's Co,Ireland
Down,Ireland
Wexford,Ireland
Limerick City,Ireland
Galway,Ireland
Limerick,Ireland
Waterford City,Ireland
Co Tipp,Ireland
County Mayo,Ireland
Meath,Ireland
Londonderry,Ireland
Kings County,Ireland
Monaghan,Ireland
Clare,Ireland
City of Cork,Ireland
County Dublin,Ireland
Cavan,Ireland
County Armagh,Ireland
Leitrim,Ireland
County Tyrone,Ireland
County Galway,Ireland
County Kerry,Ireland
Sligo,Ireland
Wicklow,Ireland
County Clare,Ireland
Longford,Ireland
City of Belfast,Ireland
Kildare,Ireland
County Derry,Ireland
Derry City,Ireland
County Cavan,Ireland
City Cork,Ireland
America,United States
Co Limk,Ireland
County Donegal,Ireland
King's Co,Ireland
Waterford,Ireland
Carlow,Ireland
County Meath,Ireland
Kilkenny,Ireland
City Belfast,Ireland
County Limerick,Ireland
County Sligo,Ireland
County Louth,Ireland
County Wexford,Ireland
County of Cork,Ireland
Co L Derry,Ireland
Queen's County,Ireland
Louth,Ireland
County Tipperary,Ireland
Ireland,Ireland
Derry,Ireland
Kilkenny City,Ireland
City Limerick,Ireland
County Wicklow,Ireland
Londonderry City,Ireland
County Waterford,Ireland
County Monaghan,Ireland
County Kildare,Ireland
Co Kings,Ireland
Co W Meath,Ireland
Limk City,Ireland
W Meath,Ireland
India,India
County Kilkenny,Ireland
Cork Co,Ireland
London,England
Dublin Co,Ireland
County Carlow,Ireland
City Waterford,Ireland
C Antrim,Ireland
Glasgow,Ireland
Queens,Ireland
"Belfast, Co Antrim",Ireland
County Leitrim,Ireland
West Meath,Ireland
Cork County,Ireland
City,Ireland
County Roscommon,Ireland
C Down,Ireland
Co Tip,Ireland
City of Limerick,Ireland
Russia,Russia
Drogheda,Ireland
"Co Cork, W R",Ireland
City of Derry,Ireland
Wales,Wales
Liverpool,England
Lancashire,England
