Irish and English,English Irish
English,English
Irish,Irish
Irish English,English Irish
English and Irish,English Irish
Irish and Eng,English Irish
No,None
English only,English
English Irish,English Irish
English Language,English
English Only,English
Irish and E,English Irish
I and English,English Irish
Irish only,Irish
E,English
I and E,English Irish
Nil,None
Irish and Engl,English Irish
E Language,English
Inglish,English
Eng and Irish,English Irish
English L,English
Irish Eng,English Irish
Irish and Englis,English Irish
Eng,English
Irish and Engh,English Irish
Irish Only,Irish
E and Irish,English Irish
Irish Language,Irish
I English,English Irish
No Irish,English
?,Unknown
English Lang,English
Eng Language,English
Irish an English,English Irish
Irish a English,English Irish
Broken English,Broken-English
Speak English,English
Irish E,English Irish
Only English,English
Scotch,Scotch
Irish and En,English Irish
Englis,English
En,English
French,French
English and I,English Irish
Cannot Speak,None
Irish Englis,English Irish
England,English
Yes,English Irish
Both,English Irish
Can Speak Irish and English,English Irish
English Lan,English
E and I,English Irish
I E,English Irish
Not,None
Ir and English,English Irish
B English,Broken-English
Eng Irish,English Irish
English I,English Irish
Irish and Engls,English Irish
Irish Engl,English Irish
Irish and Inglish,English Irish
Nill,None
Enlish,English
Irish and Engli,English Irish
E Irish,English Irish
English Langu,English
Cannot,None
Cannot Speak Irish,English
Irsh and English,English Irish
Ir and Eng,English Irish
Speaks English,English
Irish and Eglish,English Irish
Irish and Enlish,English Irish
I and Eng,English Irish
Irish and c English,English Irish
Neither,None
Irish and England,English Irish
Speak Irish and English,English Irish
English onely,English
Irish Engh,English Irish
Irish or English,English Irish
Irish and Engsh,English Irish
Can Speak English and Irish,English Irish
Iris and English,English Irish
E L,English
Plain English,English
Englash,English
Irish Inglish,English Irish
English and French,English French
Speak Irish,Irish
Eglish,English
Infant,None
English Languge,English
I and Englis,English Irish
Irish Lang,Irish
Enghlish,English
Speaks Irish and English,English Irish
Irish and Englh,English Irish
A Little Irish and English,English Irish
Can Speak English,English
English Onely,English
E I,English Irish
No Language,None
Ir,Irish
English La,English
Eng Lang,English
No English,Irish
I,Irish
Learning Irish,English Irish
None Speak Irish,English
Sp English,English
Eng only,English
All English,English
Irish and English Language,English Irish
Inglish and Irish,English Irish
Irish and,English Irish
Ir English,English Irish
Engl and Irish,English Irish
Welsh and English,English Welsh
I Language,Irish
English Langue,English
English Lange,English
I and Engls,English Irish
Engish,English
Iri and Eng,English Irish
Ish and English,English Irish
Irish En,Irish
Irish and c E,English Irish
Irish and Engish,English Irish
Irish on English,English Irish
French and English,English French
France,French
Eenglish,English
Engilish,English
Eng Only,English
Engh Lan,English
Ireland,Irish
Engl,English
Irish and Enh,English Irish
Irish Engli,English Irish
Can Speak Irish,Irish
Speak English Only,English
English and Some Irish,English Irish
G and E,English Irish
Non,None
Engilsh,English
I and Engl,English Irish
Cant Speak,None
Irish of English,English Irish
Ih and English,English Irish
Enlish and Irish,English Irish
Irish and Language,Irish
Irish and Englsih,English Irish
Englsh,English
Iris English,English Irish
Irish and Eg,English Irish
Englis and Irish,English Irish
Inglish Language,English
Scotch and English,English Scotch
E only,English
English and Ir,English Irish
English Lnge,English
Irish and Engs,English Irish
Ir and En,English Irish
Engh and Irish,English Irish
English Languish,English
Irish A English,English Irish
Speak English only,English
Enghish,English
Iris,Irish
English French,English French
English and Little Irish,English Irish
Both Irish and English,English Irish
Englsih,English
En and Irish,English Irish
Yes Irish and English,English Irish
Irish and Eh,English Irish
Irish and Englsh,English Irish
English Langa,English
Irsh English,English Irish
En Language,English
Cant Speak Irish,English
Elglish,English
Brok English,Broken-English
I and Engs,English Irish
English German,English German
Scoth,Scotch
Irish English Language,English Irish
Esh,English
Dont Speak Irish,English
Irish L,Irish
Gaelic and English,English Irish
Cannot Speak English,Irish
Inglish Only,English
Eng Languish,English
English an Irish,English Irish
English Languages,English
Irish and Inglis,English Irish
Irish Eglish,English Irish
Can Speak Irish English,English Irish
Br English,Broken-English
I S,ERROR
R L,ERROR
None Can Speak Irish,English
Not Speaking,None
Ih and Eh,English Irish
All Speak English only,English
German and English,English German
Can Speak E and I,English Irish
