Read and write,Read Write
Cannot read,Illiterate
Read,Read
Can read and write,Read Write
Read write,Read Write
Read only,Read
Cannot read or write,Illiterate
Read and rite,Read Write
Can read,Read
Cannot,Illiterate
No,Illiterate
Cant read or write,Illiterate
Can read only,Read
Can read write,Read Write
Cannot read and write,Illiterate
Yes,Read Write
Read and wright,Read Write
Cannot read nor write,Illiterate
Cant read,Illiterate
Canot read,Illiterate
Scholar,Read Write
Both,Read Write
R and w,Read Write
Read rite,Read Write
Cannot write,Read
R and write,Read Write
Read and right,Read Write
Neither,Illiterate
Reed and write,Read Write
Read and Write,Read Write
Can read and rite,Read Write
Not read,Illiterate
Write and read,Read Write
Read an write,Read Write
Cannot read write,Illiterate
Not read or write,Illiterate
Read and w,Read Write
Read a write,Read Write
Cannot r or w,Illiterate
Read and writ,Read Write
Both read and write,Read Write
Canot read or write,Illiterate
Cannot read or w,Illiterate
Read wright,Read Write
Reads and writes,Read Write
Cannot read or rite,Illiterate
Cannot Read,Illiterate
Cannot r or write,Illiterate
Red and write,Read Write
Nil,Illiterate
Yes read and write,Read Write
Reid and write,Read Write
Can read or write,Read Write
Can read and w,Read Write
Cannott read,Illiterate
Read and wrte,Read Write
Read or write,Read Write
Neither read or write,Illiterate
Reed and rite,Read Write
Unknown,Unknown
R write,Read Write
Rd and write,Read Write
Write,Write
Infant,Illiterate
Can Read and write,Read Write
R w,Read Write
Read right,Read Write
Can't read or write,Illiterate
Cant read nor write,Illiterate
Read not write,Read
Neither read nor write,Illiterate
Reade and write,Read Write
Reed write,Read Write
Scholars,Read Write
Can't read,Illiterate
Read and c write,Read Write
Not,Illiterate
Can r and write,Read Write
Read nor write,Illiterate
Educated,Read Write
Cant read and write,Illiterate
Can read rite,Read Write
Read Write,Read Write
Illiterate,Illiterate
Write read,Read Write
Can not read,Illiterate
Read onely,Read
Can r and w,Read Write
Cannot reed,Illiterate
Read and wite,Read Write
Read and wr,Read Write
Cannot red,Illiterate
Can read and wright,Read Write
Read and write yes,Read Write
Reed,Read
Cannot r,Illiterate
Can read and right,Read Write
Can write,Read
Read-write,Read Write
Read and write both,Read Write
Read Only,Read
Yes both,Read Write
Read cannot write,Read
Connot read,Illiterate
Not read nor write,Illiterate
Cannot r w,Illiterate
Not read and write,Illiterate
Can,Read Write
Can read an write,Read Write
At school,Read Write
Cannt read,Illiterate
Cant read or rite,Illiterate
Read an rite,Read Write
Wread and write,Read Write
Read w,Read Write
Cannot Read or write,Illiterate
Read writ,Read Write
Cannot rd or write,Illiterate
Riad and write,Read Write
Cannot write or read,Illiterate
Can do both,Read Write
C read and write,Read Write
School,Read Write
Reade write,Read Write
Cannot reid,Illiterate
Not read write,Illiterate
Cant read write,Illiterate
Rread and write,Read Write
Can write and read,Read Write
Cant,Illiterate
Write only,Write
Cannot read or writ,Illiterate
Read and writes,Read Write
Can both read and write,Read Write
Reed and right,Read Write
Can read w,Read Write
Read a rite,Read Write
Reads and write,Read Write
Cannot read nor rite,Illiterate
Can reed and write,Read Write
Can read and writ,Read Write
Cannot reade,Illiterate
Red write,Read Write
Cant write,Read
Cannot read and c,Illiterate
Reid write,Read Write
Cannot rd,Illiterate
Cannot Read or Write,Illiterate
Reed and wright,Read Write
Can read and wr,Read Write
Read and,Read Write
Cannot read or,Illiterate
