occupationTmp,count
"""Accountant"" Wholesale Confectioners",1
"""Army"" ? Instructor of Muskerry Per: Staff",1
"""Art Metal Worker"" Manfacuterer",1
"""Assistant""",1
"""Asylam Keeper"" Unemployed",1
"""Beggar Woman""",1
"""Beggar""",1
"""Blacksmith""",1
"""Boatman"" H.M. Customs",1
"""Boots""",2
"""Boots"" D. Servant",1
"""Brick Works"" Labourer",1
"""Brother Assistant""",1
"""Buttons""",1
"""Car Driver""",1
"""Carrier""",1
"""Clerk"" Aerated Water Factory",1
"""Clerk"" Postal Telegraphs",1
"""Clerk"" Telegraph Dept",1
"""Clerk"" Unemployed",1
"""Coach Guard Pensioner"" ""Fireman, S.S."" Tartar",1
"""Coachman-Domestic Servant""",1
"""Coast Guard""",1
"""Constables Son""",1
"""Cook"" Domestic Servant",3
"""Cook-Domestic Servant""",1
"""Cook. Domestic Servant""",1
"""Customs"" Pensioner",1
"""Dairyman's Daughter""",1
"""Dairyman's Son""",1
"""Dealer in Calves""",1
"""Dealer in Eggs""",1
"""Domestic Servant""",1
"""Domestic"" Coachman",1
"""Domestic"" General Servant",1
"""Dressmaker""",1
"""Dyeing and Finishing Works"" Manager",1
"""Farm Labourer""",1
"""Farm Work""",1
"""Farmer""",7
"""Farmer"" Agricultural Labourer",1
"""Farmer's Daughter""",8
"""Farmer's Sister""",1
"""Farmer's Son""",12
"""Farmer's Wife""",3
"""Farmers Daughter""",2
"""Farmers Son""",5
"""Flax"" Spinning Master",1
"""Foundry"" Pattern Maker",1
"""G, D, Servant""",1
"""G.P.O"" Town Postman",1
"""Ganger"" Over Railway Labourer's",1
"""Gardener"" Domestic Servant",1
"""Gen Labourer""",1
"""General Medical Practioner Royal University of Ireland Magistrate for Co Sligo""",1
"""General Practitioner"" Late Queen's University Ireland",1
"""General"" Labourer",1
"""Grocer""",1
"""Grocer"" and ""Millers Clerk""",1
"""Harness Maker""",1
"""Honorable"" (Baron's Daughter)",1
"""House Keeper Domestic Servant""",1
"""House Maid"" Domestic Servant",1
"""House Parlour Maid Domestic Servant""",1
"""Housekeeper""",1
"""Housemaid"" Domestic Servant",1
"""Infant""",2
"""Insurance"" Agent",1
"""Labour Unemployed"" No Occupation",1
"""Labourer and Shopkeeper""",1
"""Labourer""",1
"""Lady Clerk""",2
"""Lady's Maid""",1
"""Linen and Cotton"" Manufacturers Agent",1
"""Linen"" Warehouse Clerk",1
"""Mail Car Driver""",1
"""Master"" Plumber",1
"""Mother's Help""",1
"""National Teacher""",1
"""No Trade""",1
"""Nurse"" Domestic Servant",1
"""Ordinary"" N. Teacher",1
"""Painter"" Contractor Mas",1
"""Parlour Maid"" Domestic Servant",1
"""Pensioned"" Ex Constable R.I.C.",1
"""Retired Wife of Slater""",1
"""Sailor"" Unemployed",1
"""Scholar""",14
"""Scholar"" School - Boy",1
"""School Teacher""",1
"""School-Mistress""",1
"""Schoolmistress""",1
"""Seamstress""",1
"""Sexton"" Catholic Ch",1
"""Shepherd""",1
"""Shop Assistant"" (Drapery)",1
"""Shop Assistant"" At Home",1
"""Smiths"" Hammer Man",1
"""Soap, Factory Hand""",1
"""Soldiers Wife""",1
"""Son of Farmer""",1
"""Sorting Clerk"" GPO Dublin",1
"""Student of Theology""",2
"""Teacher Modern Languages, Mathematics""",1
"""Teacher, National School""",1
"""Trained"" Nurse",1
"""Tutor"" B. A. (Dublin University)",1
"""Valet"" Domestic Servant",1
"""Wareroom Clerk""",1
"""Washer Woman""",1
"""Wine, Porter""",1
"""Woodranger""",1
'Bookbinder' Blocker,1
'Cook' Domestic Servant,1
'Drapers' Commercial Traveller,1
'Farmer's Son',1
'Farmers Daughter',1
'Farmers Son',1
'Farming' Daughter,2
'Farming' Son,2
'Gunner R Artillery' Shopkeeper,1
'Hotel' Proprietress,1
'Housemaid' Domestic Servant,1
'Labourer' Window Cleaner,2
'Master' Painter,1
'Teacher',1
(1/2 Time) Doffer in Linen Mill,2
(? and College) In Training for Teacher,1
(?) Teacher,1
(?ardware) Commercial Traveller,1
(A Cottier) Having No Occupation,1
(A Labourer Agricultural),1
(Abstractor Local Govt. Board) Scholar,1
(Accountant Dept) Land Commission Civil Servant,1
(Accountant) Bank Official,1
(Agent) Pensioner R I C,1
(Agl) General Labourer,1
(Agl) Labourer,1
(Agr'l) Labourer,1
(Agr.) Labourer,1
(Agricul Impliments) Merchants Clerk,1
(Agricultural Implement and Seed Merchant),2
(Agricultural Labourer),31
(Agricultural) Caretaker,1
(Agricultural) Labourer,12
(Agricultural) Labouring Man,2
(American) Pensioner,1
(Annuity),1
(Annuity) No Occupation,3
(Ap) Shipwright,1
(App) Boilermaker,1
(App) Bookbinder,1
(App) Shipwright,1
(Apprec Boy in Iron Foundry),1
(Appren) Carpenter,1
(Apprenice) Watchmaker,1
(Apprentic Carpenter),1
(Apprentice Iron Moulder),1
(Apprentice Jeweller's),1
(Apprentice Ships Joiner),1
(Apprentice to Dress Maker),1
(Apprentice),1
(Apprentice) (Tailor's),1
(Apprentice) Carpenter,1
(Apprentice) Cooper,1
(Apprentice) H Draperiss,1
(Apprentice) Organ Builder,1
(Apprentice) Painter,1
(Apprentice) Teacher,1
(Apprentice) to Rent Agent,1
(Army Pensioner Infantry),1
(Army Pensioner) 53rd Foot 1st Battalion Shropshire Regiment,1
(Army Pensioner) Caretaking Church Grounds,1
(Army Reserve Man Private Connaught Rangers),1
(Army) Barrack Warden Clerk a Stops,1
(Ass) Dealer,1
(Assistant) (Asylum) Clerk,1
(Assistant) Clerk of Works,1
(Assistant) National Teacher,1
(At Home),1
(At School) Farmer Daughter,1
(At) Schoolars,2
(Automatic Knitter) Machinist,1
(Auxiliary Rural Post Man) Army Pensioner,1
(B.A) Teacher Logic Classics Etc,1
(B.A) Teacher Moral and Mental Philosophy,1
