occupation,count
Scholar,Scholar
Farmer,Farmer
Farmers Son,Farmer's Son
Farmers Daughter,Farmer's Daughter
Farmer's Son,Farmer's Son
House Keeper,Housekeeper
Labourer,General Labourer
Agricultural Labourer,Agricultural Labourer
Farm Servant,Farm Servant
Farmer's Daughter,Farmer's Daughter
Housekeeper,Housekeeper
General Labourer,General Labourer
Seamstress,Seamstress
Domestic Servant,General Domestic Servant
Farm Labourer,Agricultural Labourer
Scholars,Scholar
Dressmaker,Dressmaker
Farmers Wife,Farmer's Wife
General Servant Domestic,General Domestic Servant
Servant,General Domestic Servant
Carpenter,Carpenter
Farmer Son,Farmer's Son
General Servant,General Domestic Servant
Pupil,Scholar
Farmer's Wife,Farmer's Wife
No Occupation,No Occupation
Shop Assistant,Shop Assistant
Linen Weaver,Linen Weaver
Dress Maker,Dressmaker
Tailor,Tailor
Retired Farmer,Retired Farmer
Farmer Daughter,Farmer's Daughter
Fisherman,Fisherman
Clerk,Clerk
Laundress,Laundress
Shop Keeper,Shopkeeper
Nil,No Occupation
Infant,Infant
Blacksmith,Blacksmith
Baker,Baker
Shoemaker,Shoemaker
Attending School,Scholar
Farmers Sister,Farmer's Sister
School,Scholar
Schollar,Scholar
At School,Scholar
General Domestic Servant,General Domestic Servant
Servant Domestic,General Domestic Servant
Wife,Wife
Grocer,Grocer
Cook Domestic Servant,Cook Domestic Servant
General Servant-Domestic,General Domestic Servant
House Wife,Housewife
Shepherd,Shepherd
Schoolar,Scholar
Charwoman,Charwoman
Student,Scholar
Scolar,Scholar
Milliner,Milliner
Publican,Publican
School Boy,Scholar
Teacher,Teacher
Assistant,Assistant
Mill Worker,Millworker
Housewife,Housewife
Draper,Draper
Painter,Painter
Shopkeeper,Shopkeeper
Labourer General,General Labourer
Black Smith,Blacksmith
Butcher,Butcher
National Teacher,National School Teacher
Nurse,Nurse
Cook,Cook
Gardener,Gardener
Farmers Brother,Farmer's Brother
Mason,Mason
Herd,Shepherd
Carter,Carter
Dealer,Dealer
Boot Maker,Bootmaker
Cattle Dealer,Cattle Dealer
Farmer Wife,Farmer's Wife
Weaver,Weaver
Car Driver,Car Driver
School Girl,Scholar
Farmer's Sister,Farmer's Sister
Railway Porter,Railway Porter
Shoe Maker,Shoemaker
Cooper,Cooper
Groom,Groom
Grocers Assistant,Grocer's Assistant
Coachman,Coachman
Laborer,General Labourer
House-Keeper,Housekeeper
Domestic,General Domestic Servant
Postman,Postman
Messenger,Messenger
Machinist,Machinist
No Business,No Occupation
Farming,Farmer
Child,Child
Caretaker,Caretaker
Labour,General Labourer
Drapers Assistant,Draper's Assistant
House Painter,House Painter
Tailoress,Tailoress
Bricklayer,Bricklayer
Sailor,Sailor
Flax Spinner,Flax Spinner
Plumber,Plumber
Spinner,Spinner
Agl Labourer,Agricultural Labourer
School Teacher,School Teacher
Scholor,Scholar
Farmers,Farmer
Nurse Domestic Servant,Nurse Domestic Servant
Cambric Weaver,Cambric Weaver
Plasterer,Plasterer
Stone Mason,Stonemason
Damask Weaver,Damask Weaver
Labourer's Wife,Labourer's Wife
House Work,Housekeeper
Army Pensioner,Army Pensioner
Scollar,Scholar
National School Teacher,National School Teacher
Daughter,Daughter
House Keeping,Housekeeper
House Maid,Housemaid
Spinster,Spinster
Joiner,Joiner
Flax Dresser,Flax Dresser
Draper's Assistant,Draper's Assistant
Van Driver,Van Driver
Merchant,Merchant
Governess,Governess
Agrl Labourer,Agricultural Labourer
General Labour,General Labourer
Yarn Winder,Yarn Winder
Factory Worker,Factory Worker
Stone Cutter,Stonecutter
Knitter,Knitter
Railway Labourer,Railway Labourer
Cook-Domestic Servant,Cook Domestic Servant
Wool Weaver,Wool Weaver
Quay Labourer,Quay Labourer
Apprentice,Apprentice
Son,Son
Going to School,Scholar
Message Boy,Message Boy
Sister of Mercy,Nun
Embroiderer,Embroiderer
No Profession,No Occupation
Retired Labourer,Retired Labourer
Confectioner,Confectioner
Accountant,Accountant
Solicitor,Solicitor
Labourers Wife,Labourer's Wife
Dock Labourer,Dock Labourer
Farmer Servant,Farm Servant
Machinest,Machinist
Shirt Maker,Shirt Maker
Visitor,Visitor
Porter,Porter
Housemaid,Housemaid
Housemaid Domestic Servant,Housemaid
Linnen Weaver,Linen Weaver
Char Woman,Charwoman
Agricultural Labour,Agricultural Labourer
Coachman Domestic Servant,Coachman Domestic Servant
Farmer's Brother,Farmer's Brother
Sholar,Scholar
Lady,Lady
Gardner,Gardener
Victualler,Victualler
Book Keeper,Bookkeeper
Commercial Clerk,Commercial Clerk
Musician,Musician
Smoother,Smoother
Gardener Domestic Servant,Gardener Domestic Servant
At Home,1150
Farmeress,Farmer
Spirit Dealer,Spirit Dealer
Cabinet Maker,Cabinetmaker
Farmer and Cattle Dealer,Farmer and Cattle Dealer
Farmer and Shoemaker,Farmer and Shoemaker
Saddler,Saddler
Soldier,Soldier
Cotton Weaver,Cotton Weaver
Weaver Linen,Linen Weaver
Stitcher,Stitcher
General Servant (Domestic),General Domestic Servant
Commercial Traveller,Commercial Traveller
Winder,Winder
Carman,Carman
Railway Clerk,Railway Clerk
No Employment,No Occupation
Spade Maker,Spade Maker
Hemstitcher,Hemstitcher
Bootmaker,Bootmaker
Shopman-Grocery,997
Mill Owners Wife,Mill Owner's Wife
Housekeeper and Knitter,Housekeeper and Knitter
Steward and Farm Manager,Steward and Farm Manager
Post Man,Postman
Printer,Printer
Harness Maker,Harnessmaker
Housekeeping,Housekeeper
Builders Labourer,Builder's Labourer
Domestic Servant General,General Domestic Servant
General Servt Domestic,General Domestic Servant
Engine Driver,Engine Driver
Agr Labourer,Agricultural Labourer
Lodging House Keeper,Lodging House Keeper
Genl Labourer,General Labourer
Labourer Agricultural,Agricultural Labourer
Seaman,Seaman
Miller,Miller
Land Steward,Land Steward
Grocer's Assistant,Grocer's Assistant
Pedlar,Pedlar
Bank Clerk,Bank Clerk
Washerwoman,Washerwoman
Linen Winder,Linen Winder
Sewer,Seamster
Rural Postman,Rural Postman
Hospital Nurse,Hospital Nurse
Farmers Servant,Farm Servant
Fish Dealer,Fish Dealer
Printer-Compositor,Compositor
House Maid Domestic Servant,Housemaid
Not at School,No Occupation
Barmaid,Barmaid
Dividends,Dividends
Engine Fitter,Engine Fitter
Labourers Daughter,Labourer's Daughter
Unemployed,No Occupation
Dairy Maid,Dairymaid
Car Owner,Car Owner
Boatman,Boatman
Cook Domestic,Cook Domestic Servant
Labourer Farm,Agricultural Labourer
House Carpenter,House Carpenter
Medical Student,Medical Student
Coach Builder,Coachmaker
Iron Moulder,Iron Moulder
Farmer Labourer,Agricultural Labourer
Lace Maker,Lacemaker
Boot and Shoe Maker,Cobbler
Book Folder,Book Folder
Factory Hand,Factory Hand
Compositor,Compositor
Domestic Servant Cook,Cook Domestic Servant
Agricultural Laborer,Agricultural Labourer
Coal Labourer,Coal Labourer
Nurse-Domestic Servant,Nurse Domestic Servant
Tin Smith,Tinsmith
Coal Miner,Coal Miner
Fireman,Fireman
Farm Labour,Agricultural Labourer
