occupation,correction
Unknown,Unknown
Scholar,Scholar
Farmer,Farmer
Farmer's Son,Farmer's Son
Farmer's Daughter,Farmer's Daughter
Housekeeper,Housekeeper
Agricultural Labourer,Agricultural Labourer
Labourer,General Labourer
Farm Servant,Farm Servant
General Labourer,General Labourer
Domestic Servant,General Domestic Servant
Seamstress,Seamstress
Farmer's Wife,Farmer's Wife
General Domestic Servant,General Domestic Servant
Dressmaker,Dressmaker
Farm Labourer,Agricultural Labourer
Servant,General Domestic Servant
Carpenter,Carpenter
General Servant,General Domestic Servant
Pupil,Scholar
Shop Assistant,Shop Assistant
No Occupation,No Occupation
Linen Weaver,Linen Weaver
Shopkeeper,Shopkeeper
Tailor,Tailor
Blacksmith,Blacksmith
Shoemaker,Shoemaker
Fisherman,Fisherman
Farmer's Sister,Farmer's Sister
Housewife,Housewife
Retired Farmer,Retired Farmer
Clerk,Clerk
Laundress,Laundress
Infant,Child
Nil,No Occupation
Cook Domestic Servant,Cook Domestic Servant
Baker,Baker
Attending School,Scholar
School,Scholar
At School,Scholar
Wife,Wife
Grocer,Grocer
Mill Worker,Mill Worker
Shepherd,Shepherd
Farmer's Brother,Farmer's Brother
Charwoman,Charwoman
School Boy,Scholar
Student,Scholar
Bootmaker,Bootmaker
Milliner,Milliner
Publican,Publican
Assistant,Assistant
Teacher,Teacher
Draper's Assistant,Draper's Assistant
National Teacher,National School Teacher
Painter,Painter
Draper,Draper
Machinist,Machinist
Gardener,Gardener
Butcher,Butcher
Postman,Postman
Labourer's Wife,Labourer's Wife
Nurse,Nurse
Grocer's Assistant,Grocer's Assistant
Cook,Cook
Mason,Mason
Herd,Herd
Coachman,Coachman
Cattle Dealer,Cattle Dealer
Dealer,Dealer
Carter,Carter
Housemaid,Housemaid
Farmer Wife,Farmer's Wife
Nurse Domestic Servant,Nurse Domestic Servant
Car Driver,Car Driver
School Girl,Scholar
Weaver,Weaver
Bricklayer,Bricklayer
Caretaker,Caretaker
Railway Porter,Railway Porter
Cooper,Cooper
Groom,Groom
No Business,No Occupation
Domestic,General Domestic Servant
Messenger,Messenger
Farming,Farmer
Child,Child
House Painter,House Painter
Housework,Housework
Tailoress,Tailor
Stonemason,Stonemason
Flax Spinner,Flax Spinner
Sailor,Sailor
Schoolteacher,Schoolteacher
Plumber,Plumber
Spinner,Spinner
Farmers,Farmer
Cambric Weaver,Cambric Weaver
Plasterer,Plasterer
Damask Weaver,Damask Weaver
Army Pensioner,Army Pensioner
Bookkeeper,Bookkeeper
National Schoolteacher,National School Teacher
Quay Labourer,Quay Labourer
Daughter,Daughter
Gardener Domestic Servant,Gardener Domestic Servant
House Keeping,Housekeeper
Flax Dresser,Flax Dresser
Housemaid Domestic Servant,Housemaid Domestic Servant
Spinster,Spinster
Van Driver,Van Driver
Joiner,Joiner
Merchant,Merchant
Stone Cutter,Stonecutter
Governess,Governess
Dock Labourer,Dock Labourer
Coachman Domestic Servant,Coachman Domestic Servant
Yarn Winder,Yarn Winder
Factory Worker,Factory Worker
Wool Weaver,Wool Weaver
Railway Labourer,Railway Labourer
Knitter,Knitter
Char Woman,Charwoman
Printer Compositor,Printer Compositor
Weaver Linen,Linen Weaver
Son,Son
Apprentice,Apprentice
Message Boy,Message Boy
Going to School,Scholar
Sister of Mercy,Nun
Embroiderer,Embroiderer
Retired Labourer,Retired Labourer
Shirt Maker,Shirt Maker
No Profession,No Occupation
Barmaid,Barmaid
Confectioner,Confectioner
Accountant,Accountant
Farmer Servant,Farm Servant
Solicitor,Solicitor
Cabinetmaker,Cabinetmaker
Visitor,Visitor
Linnen Weaver,Linen Weaver
Porter,Porter
Tinsmith,Tinsmith
Labourer's Daughter,Labourer's Daughter
Farmer's Servant,Farm Servant
Victualler,Victualler
Gardner,Gardner
Commercial Clerk,Commercial Clerk
Musician,Musician
Spirit Dealer,Spirit Dealer
Lady,Lady
Farmeress,Farmer
Smoother,Smoother
At Home,Housework
Farmer and Cattle Dealer,Farmer and Cattle Dealer
Farmer and Shoemaker,Farmer and Shoemaker
Saddler,Saddler
Soldier,Soldier
Cotton Weaver,Cotton Weaver
Shopman Grocery,Grocery Shopman
Hairdresser,Hairdresser
Stitcher,Stitcher
Winder,Winder
