occupation,corrected_occupation
Scholar,Scholar
Farmer,Farmer
Farmers Son,Farmer's Son
Farmers Daughter,Farmer's Daughter
Farmer's Son,Farmer's Son
House Keeper,Housekeeper
Labourer,Labourer
Agricultural Labourer,Agricultural Labourer
Farm Servant,Farm Servant
Farmer's Daughter,Farmer's Daughter
Housekeeper,Housekeeper
General Labourer,General Labourer
Seamstress,Seamstress
Domestic Servant,Domestic Servant
Farm Labourer,Farm Labourer
Scholars,Scholar
Dressmaker,Dressmaker
Farmers Wife,Farmer's Wife
General Servant Domestic,General Domestic Servant
Servant,Servant
Carpenter,Carpenter
Farmer Son,Farmer's Son
General Servant,General Servant
Pupil,Pupil
Farmer's Wife,Farmer's Wife
No Occupation,No Occupation
Shop Assistant,Shop Assistant
Linen Weaver,Linen Weaver
Dress Maker,Dressmaker
Tailor,Tailor
Retired Farmer,Retired Farmer
Farmer Daughter,Farmer's Daughter
Fisherman,Fisherman
Clerk,Clerk
Shop Keeper,Shopkeeper
Laundress,Laundress
Infant,Infant
Nil,Nil
Blacksmith,Blacksmith
Baker,Baker
Shoemaker,Shoemaker
Attending School,Attending School
Farmers Sister,Farmer's Sister
School,School
Schollar,Scholar
At School,At School
Servant Domestic,Domestic Servant
General Domestic Servant,General Domestic Servant
Wife,Wife
Grocer,Grocer
General Servant-Domestic,General Domestic Servant
Cook Domestic Servant,Cook Domestic Servant
House Wife,Housewife
Shepherd,Shepherd
Schoolar,Scholar
Charwoman,Charwoman
Student,Student
Scolar,Scholar
Milliner,Milliner
Publican,Publican
School Boy,School Boy
Assistant,Assistant
Teacher,Teacher
Mill Worker,Mill Worker
Housewife,Housewife
Painter,Painter
Draper,Draper
Shopkeeper,Shopkeeper
Labourer General,General Labourer
Black Smith,Blacksmith
Butcher,Butcher
National Teacher,National Teacher
Nurse,Nurse
Gardener,Gardener
Cook,Cook
Farmers Brother,Farmer's Brother
Mason,Mason
Herd,Herd
Dealer,Dealer
Carter,Carter
Boot Maker,Bootmaker
Cattle Dealer,Cattle Dealer
Farmer Wife,Farmer Wife
Car Driver,Car Driver
Weaver,Weaver
Farmer's Sister,Farmer's Sister
School Girl,School Girl
Railway Porter,Railway Porter
Shoe Maker,Shoemaker
Cooper,Cooper
Groom,Groom
Grocers Assistant,Grocer's Assistant
Laborer,Labourer
Coachman,Coachman
House-Keeper,Housekeeper
Postman,Postman
Domestic,Domestic
Machinist,Machinist
Messenger,Messenger
No Business,No Business
Farming,Farming
Child,Child
Caretaker,Caretaker
Drapers Assistant,Draper's Assistant
Labour,Labourer
House Painter,House Painter
Tailoress,Tailoress
Bricklayer,Bricklayer
Sailor,Sailor
Flax Spinner,Flax Spinner
Plumber,Plumber
Agl Labourer,Agricultural Labourer
Spinner,Spinner
School Teacher,Schoolteacher
Scholor,Scholar
Farmers,Farmers
Cambric Weaver,Cambric Weaver
Stone Mason,Stonemason
Nurse Domestic Servant,Nurse Domestic Servant
Plasterer,Plasterer
Damask Weaver,Damask Weaver
Labourer's Wife,Labourer's Wife
House Work,Housework
Army Pensioner,Army Pensioner
Scollar,Scholar
National School Teacher,National Schoolteacher
Daughter,Daughter
House Keeping,House Keeping
House Maid,Housemaid
Flax Dresser,Flax Dresser
Spinster,Spinster
Draper's Assistant,Draper's Assistant
Joiner,Joiner
Van Driver,Van Driver
Merchant,Merchant
Agrl Labourer,Agricultural Labourer
Governess,Governess
Yarn Winder,Yarn Winder
Factory Worker,Factory Worker
General Labour,General Labourer
Stone Cutter,Stone Cutter
Knitter,Knitter
Railway Labourer,Railway Labourer
Wool Weaver,Wool Weaver
Cook-Domestic Servant,Cook Domestic Servant
Son,Son
Quay Labourer,Quay Labourer
Apprentice,Apprentice
Going to School,Going to School
Message Boy,Message Boy
Sister of Mercy,Sister of Mercy
Embroiderer,Embroiderer
Retired Labourer,Retired Labourer
No Profession,No Profession
Labourers Wife,Labourer's Wife
Confectioner,Confectioner
Accountant,Accountant
Dock Labourer,Dock Labourer
Farmer Servant,Farmer Servant
Solicitor,Solicitor
Shirt Maker,Shirt Maker
Machinest,Machinist
Visitor,Visitor
Char Woman,Char Woman
Linnen Weaver,Linnen Weaver
Porter,Porter
Housemaid,Housemaid
Housemaid Domestic Servant,Housemaid Domestic Servant
Agricultural Labour,Agricultural Labourer
Coachman Domestic Servant,Coachman Domestic Servant
Farmer's Brother,Farmer's Brother
Sholar,Scholar
Victualler,Victualler
Book Keeper,Bookkeeper
Gardner,Gardner
Commercial Clerk,Commercial Clerk
Musician,Musician
Lady,Lady
Spirit Dealer,Spirit Dealer
Gardener Domestic Servant,Gardener Domestic Servant
Farmeress,Farmeress
Smoother,Smoother
At Home,At Home
Farmer and Cattle Dealer,Farmer and Cattle Dealer
Farmer and Shoemaker,Farmer and Shoemaker
Cabinet Maker,Cabinetmaker
Saddler,Saddler
Soldier,Soldier
Cotton Weaver,Cotton Weaver
Stitcher,Stitcher
General Servant (Domestic),General Domestic Servant
Winder,Winder
Weaver Linen,Weaver Linen
Carman,Carman
Commercial Traveller,Commercial Traveller
Spade Maker,Spade Maker
Railway Clerk,Railway Clerk
Shopman-Grocery,Shopman Grocery
No Employment,No Employment
Bootmaker,Bootmaker
Hemstitcher,Hemstitcher
Housekeeper and Knitter,Housekeeper and Knitter
Mill Owners Wife,Mill Owner's Wife
Steward and Farm Manager,Steward and Farm Manager
Post Man,Postman
Housekeeping,Housekeeping
Printer,Printer
Harness Maker,Harness Maker
Builders Labourer,Builders Labourer
General Servt Domestic,General Domestic Servant
Domestic Servant General,General Domestic Servant
Agr Labourer,Agricultural Labourer
Engine Driver,Engine Driver
Lodging House Keeper,Lodging House Keeper
Genl Labourer,General Labourer
Labourer Agricultural,Agricultural Labourer
Miller,Miller
Land Steward,Land Steward
Grocer's Assistant,Grocer's Assistant
Pedlar,Pedlar
Washerwoman,Washerwoman
Sewer,Sewer
Linen Winder,Linen Winder
Rural Postman,Rural Postman
Bank Clerk,Bank Clerk
Seaman,Seaman
Fish Dealer,Fish Dealer
Farmers Servant,Farmer's Servant
Printer-Compositor,Printer Compositor
Not at School,Not at School
Barmaid,Barmaid
Hospital Nurse,Hospital Nurse
House Maid Domestic Servant,House Maid Domestic Servant
Labourers Daughter,Labourer's Daughter
Dividends,Dividends
Engine Fitter,Engine Fitter
Unemployed,Unemployed
Dairy Maid,Dairy Maid
Boatman,Boatman
Car Owner,Car Owner
Labourer Farm,Farm Labourer
Cook Domestic,Cook Domestic
House Carpenter,House Carpenter
Medical Student,Medical Student
Coach Builder,Coach Builder
Lace Maker,Lacemaker
Farmer Labourer,Farmer Labourer
Boot and Shoe Maker,Boot and Shoe Maker
Iron Moulder,Iron Moulder
Agricultural Laborer,Agricultural Labourer
Book Folder,Book Folder
Factory Hand,Factory Hand
Compositor,Compositor
Coal Miner,Coal Miner
Domestic Servant Cook,Domestic Servant Cook
Coal Labourer,Coal Labourer
Nurse-Domestic Servant,Nurse Domestic Servant
Tin Smith,Tinsmith
Spirit Merchant,Spirit Merchant
