name,Religion,Classification,Orientation,Theology,Trinity,Polity
Roman Catholic,Christianity,Catholic,Catholic,Catholic,Trinitarian,Episcopal
Church of Ireland,Christianity,Protestant,Anglican,Anglican,Trinitarian,Episcopal
Presbyterian,Christianity,Protestant,Reformed,Reformed,Trinitarian,Presbyterian
Methodist,Christianity,Protestant,Methodist,Wesleyan,Trinitarian,Connexional
Church of England,Christianity,Protestant,Anglican,Anglican,Trinitarian,Episcopal
Unknown,N/A,N/A,N/A,N/A,N/A,N/A
Congregationalist,Christianity,Protestant,Reformed,Calvinist,Trinitarian,Congregational
Unitarian,Christianity,Protestant,Liberal,Unitarian,Nontrinitarian,Congregational
Wesleyan Methodist,Christianity,Protestant,Methodist,Wesleyan,Trinitarian,Connexional
Baptist,Christianity,Protestant,Baptist,Baptist,Trinitarian,Congregational
Reformed Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Jewish,Judaism,N/A,N/A,N/A
Christian Brethren,Christianity,Protestant,Trinitarian,Congregational
Quaker,Christianity,Protestant,Nontrinitarian,Congregational
United Free Church of Scotland,Christianity,Protestant,Trinitarian,Presbyterian
Independent,Christianity,Protestant,Trinitarian,Congregational
Non-Subscribing Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Salvationist,1441
Moravian,1243
Church of Scotland,1157
Methodist New Connexion,634
Non-denominational Christian,482
Free Church of Scotland,372
United Presbyterian,322
Lutheran,Christianity,Protestant,Trinitarian,Episcopal
Seceder Presbyterian,318
Primitive Methodist,234
Church of Christ,216
Catholic Apostolic,192
Church of God,189
Atheist,142
ERROR,99
Agnostic,Unknown,Unknown,Unknown,Unknown
Free Thinker,79
Christadelphian,72
Seventh Day Adventist,Christianity,Protestant,Trinitarian,Presbyterian
Mormon,Christianity,Restorationist,Nontrinitarian,Hierarchical
Original Secession Church,59
Church of Norway,51
Episcopal Church of Scotland,50
Nonconformist,45
Unconverted,44
Separatist,36
Greek Orthodox,33
Christian Scientist,33
Evangelical,28
Calvinistic Methodist,28
Spiritualist,21
Swiss Protestant,19
Swedenborgian,18
Theist,15
Bryanite,12
Rationalist,12
Reformed Dutch Church,10
French Protestant,9
Hindu,Hinduism,N/A,N/A,N/A
German Protestant,9
Theosophist,9
Evangelical Union,8
United Methodist,7
Apostolic Church of Ireland,7
Remonstrant Presbyterian Church,6
Buddhist,Buddhism,N/A,N/A,N/A
Protestant Bavarian Church,5
