Roman Catholic,Roman Catholic.1,Classification,Orientation,Theology,Polity
R Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Methodist,Methodist,Christianity,Protestant,Trinitarian,Connexional
Church of England,Church of England,Unknown,Unknown,Unknown,Unknown
Church Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ch of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Episcopalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R C Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterian Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cathlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Rom Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholics,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Unitarian,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Baptist,Baptist,Christianity,Protestant,Trinitarian,Congregational
Presbeterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Catholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Religion,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Reformed Presbyterian,Reformed Presbyterian,Unknown,Unknown,Unknown,Unknown
Congregationalist,Congregationalist,Unknown,Unknown,Unknown,Unknown
C of E,Church of England,Unknown,Unknown,Unknown,Unknown
Protestant Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Protestant Episcopalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
C of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cathorlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cath,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Roman,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
I C,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Church of Rome,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Wesleyan,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
Wesleyan Methodist,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
I Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Catholic R,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ro Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Curch of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Congregational,Congregationalist,Unknown,Unknown,Unknown,Unknown
Catholice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Methodist Church,Methodist,Christianity,Protestant,Trinitarian,Connexional
Roman Catholic Religion,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
English Church,Church of England,Unknown,Unknown,Unknown,Unknown
Rn Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespeterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Christian,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Roman Chatolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Society of Friends,Quaker,Christianity,Protestant,Nontrinitarian,Congregational
Presbyterrian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cathlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopal Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catcholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholic Religion,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Brethren,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
R Catholics,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireland Protestant,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Protestant,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Rm Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbyterians,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Hebrew,Jewish,Judaism,N/A,N/A,N/A
Catholics,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathol,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Caholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
C of England,Church of England,Unknown,Unknown,Unknown,Unknown
Presbterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Church England,Church of England,Unknown,Unknown,Unknown,Unknown
Roman Catholc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman C Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathelic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathloic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant I C,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbytarian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Protestant Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Protestant Irish Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Independent,Independent,Unknown,Unknown,Unknown,Unknown
Roman Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Jew,Jewish,Judaism,N/A,N/A,N/A
Salvation Army,Salvationist,Unknown,Unknown,Unknown,Unknown
Brethern,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
United Free Church of Scotland,United Free Church of Scotland,Unknown,Unknown,Unknown,Unknown
Uniterian,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Ch of England,Church of England,Unknown,Unknown,Unknown,Unknown
Roman Catlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Methodists,Methodist,Christianity,Protestant,Trinitarian,Connexional
C I,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Non Subscribing Presbyterian,Non-Subscribing Presbyterian,Unknown,Unknown,Unknown,Unknown
Prespterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Cathorlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyteran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Moravian,Moravian,Unknown,Unknown,Unknown,Unknown
Presbyterian G A,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Christian Brethren,Christian Brethren,Unknown,Unknown,Unknown,Unknown
Pres,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Chatolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathloc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catcholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathiloc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterin,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catolick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
C Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Christian Brethern,Christian Brethren,Unknown,Unknown,Unknown,Unknown
R Catolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopal,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbyterian Ch,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catherlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
C of I,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Church of Scotland,Church of Scotland,Unknown,Unknown,Unknown,Unknown
Roman Catho,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Church Protestant,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbytrian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Romn Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Old Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholi,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Chatholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathorlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterion,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbyterean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Church of Irland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Jewish,Jewish,Judaism,N/A,N/A,N/A
Prebysterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Romon Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopelian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Prysbeterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Chatolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Religon,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathlice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ch Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R C Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholic C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopal Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Cathlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prisbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
The Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Plymouth Brethern,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Protestant Church of England,Church of England,Unknown,Unknown,Unknown,Unknown
Babtist,Baptist,Christianity,Protestant,Trinitarian,Congregational
Catolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathelick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopalian Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Church of I,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roma Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catherlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireland Episcopalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbyterian C,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presby,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roam Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
C Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cath,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbiterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cathilic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathloic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
United Free Church,United Free Church of Scotland,Unknown,Unknown,Unknown,Unknown
Romen Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbetarian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Rom Cath,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Information Refused,Unknown,Unknown,Unknown,Unknown,Unknown
Rmn Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Congregational Church,Congregationalist,Unknown,Unknown,Unknown,Unknown
Presbeyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Plymouth Brethren,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
W Methodist,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
Episcopalian Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholis,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
C E,Church of England,Unknown,Unknown,Unknown,Unknown
R C Religion,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Salvationist,Salvationist,Unknown,Unknown,Unknown,Unknown
Roman Cat,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathole,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catcholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcoplian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Protestant Episcopal,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Catholick Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Covenanter,Reformed Presbyterian,Unknown,Unknown,Unknown,Unknown
Church,Church,Unknown,Unknown,Unknown,Unknown
R Cathelic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Jewess,Jewish,Judaism,N/A,N/A,N/A
Baptist Church,Baptist,Christianity,Protestant,Trinitarian,Congregational
Roman Cathl,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Presbyterian,Reformed Presbyterian,Unknown,Unknown,Unknown,Unknown
Methodist New Connexion,Methodist New Connexion,Unknown,Unknown,Unknown,Unknown
Congregationlist,Congregationalist,Unknown,Unknown,Unknown,Unknown
Church of Eng,Church of England,Unknown,Unknown,Unknown,Unknown
Episcopalion,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Independant,Independent,Unknown,Unknown,Unknown,Unknown
Roman,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presybterian,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathorlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presperterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Quaker,Quaker,Christianity,Protestant,Nontrinitarian,Congregational
Church of Irelan,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Church Rome,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireld,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Moravian Church,Moravian,Unknown,Unknown,Unknown,Unknown
Roman Catholick Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ron Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ire,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Curch Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Methodest,Methodist,Christianity,Protestant,Trinitarian,Connexional
Member of Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cathoic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopalian Protestant,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cathic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic Ch,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
E Church,Church of England,Unknown,Unknown,Unknown,Unknown
Irish Curch,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbytirian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Protestant Episcopelian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cathc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of England Protestant,Church of England,Unknown,Unknown,Unknown,Unknown
R Cathiloc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Episcopal Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catheolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ref Presbyterian,Reformed Presbyterian,Unknown,Unknown,Unknown,Unknown
Protestant Episcopalians,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Rome Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Christ,Church of Christ,Unknown,Unknown,Unknown,Unknown
Catholic Curch,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterien,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prebyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prespertian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
A Roman Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathlock,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathloic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catolice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopalian Irish Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Catholic Ch,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathelick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholoc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbeterian Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Free Church of Scotland,Free Church of Scotland,Unknown,Unknown,Unknown,Unknown
Roman Catholic's,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Caterlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Refd Presbyterian,Reformed Presbyterian,Unknown,Unknown,Unknown,Unknown
Ch of I,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Holy Roman Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Ch,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catherlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
I C Protestant,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catrlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Member of the Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cathalic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of God,Church of God,Unknown,Unknown,Unknown,Unknown
Catholice Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbertian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Congregationalists,Congregationalist,Unknown,Unknown,Unknown,Unknown
Primitive Methodist,Primitive Methodist,Unknown,Unknown,Unknown,Unknown
Methodist Ch,Methodist,Christianity,Protestant,Trinitarian,Connexional
Catherlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R C C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Presbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Cathloc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyternian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbyn,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
United Presbyterian,United Presbyterian,Unknown,Unknown,Unknown,Unknown
R Chatholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholik,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church off Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Protestant I Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Catholique,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Curch of England,Church of England,Unknown,Unknown,Unknown,Unknown
Non Sub Presbyterian,Non-Subscribing Presbyterian,Unknown,Unknown,Unknown,Unknown
R Catholc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathelic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespiterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Catherlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catherlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catchlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathrolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
No Denomination,Non-denominational Christian,Unknown,Unknown,Unknown,Unknown
Cathelick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathoc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic Curch,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catolick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Established Church of Scotland,Church of Scotland,Unknown,Unknown,Unknown,Unknown
Roman Catholicks,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathiloc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathlic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Independent Church,Independent,Unknown,Unknown,Unknown,Unknown
Free Church,Free Church of Scotland,Unknown,Unknown,Unknown,Unknown
Protestant C I,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cathick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Unatarian,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Chuch of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholic Church of Rome,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Church Episcopalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presybeterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Irish Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespetarian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Unaterian,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Presby Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cathiolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic Religon,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Caiholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cotholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Roam,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
C England,Church of England,Unknown,Unknown,Unknown,Unknown
Prsbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catholices,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopilian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbtyerian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catholica,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
