occupation,count,corrected_occupation
Scholar,816605,Scholar
Farmer,390214,Farmer
Farmers Son,130921,Farmer's Son
Farmers Daughter,105956,Farmer's Daughter
Farmer's Son,80356,Farmer's Son
House Keeper,74078,Housekeeper
Labourer,71575,Labourer
Agricultural Labourer,70987,Agricultural Labourer
Farm Servant,67241,Farm Servant
Farmer's Daughter,57494,Farmer's Daughter
Housekeeper,54768,Housekeeper
General Labourer,53892,General Labourer
Seamstress,42818,Seamstress
Domestic Servant,42402,Domestic Servant
Farm Labourer,36238,Farm Labourer
Scholars,33357,Scholar
Dressmaker,26824,Dressmaker
Farmers Wife,26722,Farmer's Wife
General Servant Domestic,23231,General Domestic Servant
Servant,22391,Servant
Carpenter,18695,Carpenter
Farmer Son,18551,Farmer's Son
General Servant,17232,General Servant
Pupil,15575,Pupil
Farmer's Wife,15005,Farmer's Wife
No Occupation,14408,No Occupation
Shop Assistant,14400,Shop Assistant
Linen Weaver,12974,Linen Weaver
Dress Maker,11828,Dressmaker
Tailor,11225,Tailor
Retired Farmer,8401,Retired Farmer
Farmer Daughter,8349,Farmer's Daughter
Fisherman,8119,Fisherman
Clerk,7604,Clerk
Shop Keeper,7451,Shopkeeper
Laundress,7422,Laundress
Infant,7377,Infant
Nil,7300,Nil
Blacksmith,6763,Blacksmith
Baker,6382,Baker
Shoemaker,6132,Shoemaker
Attending School,6045,Attending School
Farmers Sister,5854,Farmer's Sister
School,5778,School
Schollar,5571,Scholar
At School,5504,At School
Servant Domestic,5467,Domestic Servant
General Domestic Servant,5452,General Domestic Servant
Wife,5349,Wife
Grocer,5313,Grocer
General Servant-Domestic,4715,General Domestic Servant
Cook Domestic Servant,4665,Cook Domestic Servant
House Wife,4602,House Wife
Shepherd,4553,Shepherd
Schoolar,4214,Scholar
Charwoman,4200,Charwoman
Student,4101,Student
Scolar,4056,Scholar
Milliner,4032,Milliner
Publican,4020,Publican
School Boy,3996,School Boy
Assistant,3946,Assistant
Teacher,3941,Teacher
Mill Worker,3838,Mill Worker
Housewife,3804,Housewife
Painter,3733,Painter
Draper,3726,Draper
Shopkeeper,3699,Shopkeeper
Labourer General,3569,General Labourer
Black Smith,3537,Blacksmith
Butcher,3529,Butcher
National Teacher,3460,National Teacher
Nurse,3378,Nurse
Gardener,3307,Gardener
Cook,3297,Cook
Farmers Brother,3240,Farmer's Brother
Mason,3189,Mason
Herd,3185,Herd
Dealer,2994,Dealer
Carter,2991,Carter
Boot Maker,2941,Bootmaker
Cattle Dealer,2931,Cattle Dealer
Farmer Wife,2927,Farmer Wife
Car Driver,2768,Car Driver
Weaver,2765,Weaver
Farmer's Sister,2745,Farmer's Sister
School Girl,2712,School Girl
Railway Porter,2654,Railway Porter
Shoe Maker,2640,Shoemaker
Cooper,2618,Cooper
Groom,2569,Groom
Grocers Assistant,2497,Grocer's Assistant
Laborer,2468,Labourer
Coachman,2453,Coachman
House-Keeper,2439,Housekeeper
Postman,2412,Postman
Domestic,2398,Domestic
Machinist,2387,Machinist
Messenger,2380,Messenger
No Business,2366,No Business
Farming,2338,Farming
Child,2310,Child
Caretaker,2276,Caretaker
Drapers Assistant,2238,Draper's Assistant
Labour,2232,Labourer
House Painter,2212,House Painter
Tailoress,2201,Tailoress
Bricklayer,2163,Bricklayer
Sailor,2078,Sailor
Flax Spinner,2073,Flax Spinner
Plumber,2022,Plumber
Agl Labourer,2013,Agricultural Labourer
Spinner,2003,Spinner
School Teacher,1984,Schoolteacher
Scholor,1951,Scholar
Farmers,1920,Farmers
Cambric Weaver,1901,Cambric Weaver
Stone Mason,1895,Stonemason
Nurse Domestic Servant,1890,Nurse Domestic Servant
Plasterer,1885,Plasterer
Damask Weaver,1870,Damask Weaver
Labourer's Wife,1865,Labourer's Wife
House Work,1826,House Work
Army Pensioner,1822,Army Pensioner
Scollar,1791,Scholar
National School Teacher,1743,National Schoolteacher
Daughter,1735,Daughter
House Keeping,1686,House Keeping
House Maid,1680,Housemaid
Flax Dresser,1680,Flax Dresser
Spinster,1671,Spinster
Draper's Assistant,1666,Draper's Assistant
Joiner,1649,Joiner
Van Driver,1621,Van Driver
Merchant,1597,Merchant
Agrl Labourer,1592,Agricultural Labourer
Governess,1556,Governess
Yarn Winder,1514,Yarn Winder
Factory Worker,1495,Factory Worker
General Labour,1494,General Labour
Stone Cutter,1494,Stone Cutter
Knitter,1477,Knitter
Railway Labourer,1468,Railway Labourer
Wool Weaver,1455,Wool Weaver
Cook-Domestic Servant,1451,Cook Domestic Servant
Son,1424,Son
Quay Labourer,1421,Quay Labourer
Apprentice,1415,Apprentice
Going to School,1406,Going to School
Message Boy,1390,Message Boy
Sister of Mercy,1383,Sister of Mercy
Embroiderer,1379,Embroiderer
Retired Labourer,1358,Retired Labourer
No Profession,1331,No Profession
Labourers Wife,1314,Labourer's Wife
Confectioner,1312,Confectioner
Accountant,1309,Accountant
Dock Labourer,1293,Dock Labourer
Farmer Servant,1289,Farmer Servant
Solicitor,1287,Solicitor
Shirt Maker,1283,Shirt Maker
Machinest,1274,Machinest
Visitor,1250,Visitor
Char Woman,1227,Char Woman
Linnen Weaver,1225,Linnen Weaver
Porter,1224,Porter
Housemaid,1222,Housemaid
Housemaid Domestic Servant,1213,Housemaid Domestic Servant
Agricultural Labour,1208,Agricultural Labourer
Coachman Domestic Servant,1198,Coachman Domestic Servant
Farmer's Brother,1190,Farmer's Brother
Sholar,1185,Scholar
Victualler,1173,Victualler
Book Keeper,1164,Bookkeeper
Gardnr,1163,Gardner
Commercial Clerk,1144,Commercial Clerk
Musician,1143,Musician
Lady,1142,Lady
Spirit Dealer,1141,Spirit Dealer
Gardener Domestic Servant,1138,Gardener Domestic Servant
Farmeress,1135,Farmeress
Smoother,1129,Smoother
At Home,1123,At Home
Farmer and Cattle Dealer,1120,Farmer and Cattle Dealer
Farmer and Shoemaker,1116,Farmer and Shoemaker
Cabinet Maker,1111,Cabinetmaker
Saddler,1093,Saddler
Soldier,1086,Soldier
Cotton Weaver,1069,Cotton Weaver
Stitcher,1057,Stitcher
General Servant (Domestic),1055,General Servant (Domestic)
Winder,1042,Winder
Weaver Linen,1037,Weaver Linen
Carman,1036,Carman
Commercial Traveller,1035,Commercial Traveller
Spade Maker,1011,Spade Maker
Railway Clerk,1011,Railway Clerk
Shopman-Grocery,997,Shopman Grocery
No Employment,994,No Employment
Bootmaker,991,Bootmaker
Hemstitcher,991,Hemstitcher
Housekeeper and Knitter,987,Housekeeper and Knitter
Mill Owners Wife,987,Mill Owner's Wife
Steward and Farm Manager,987,Steward and Farm Manager
Post Man,978,Postman
Housekeeping,963,Housekeeping
Printer,961,Printer
Harness Maker,958,Harness Maker
Builders Labourer,952,Builders Labourer
General Servt Domestic,942,General Domestic Servant
Domestic Servant General,941,General Domestic Servant
Agr Labourer,933,Agricultural Labourer
Engine Driver,932,Engine Driver
Lodging House Keeper,913,Lodging House Keeper
Genl Labourer,898,General Labourer
Labourer Agricultural,890,Agricultural Labourer
Miller,866,Miller
Land Steward,858,Land Steward
Grocer's Assistant,856,Grocer's Assistant
Pedlar,850,Pedlar
Washerwoman,846,Washerwoman
Sewer,841,Sewer
Linen Winder,841,Linen Winder
Rural Postman,840,Rural Postman
Bank Clerk,837,Bank Clerk
Seaman,832,Seaman
Fish Dealer,820,Fish Dealer
Farmers Servant,820,Farmer's Servant
Printer-Compositor,815,Printer Compositor
Not at School,813,Not at School
Barmaid,806,Barmaid
Hospital Nurse,804,Hospital Nurse
House Maid Domestic Servant,803,House Maid Domestic Servant
Labourers Daughter,787,Labourer's Daughter
Dividends,786,Dividends
Engine Fitter,775,Engine Fitter
Unemployed,768,Unemployed
Dairy Maid,765,Dairy Maid
Boatman,762,Boatman
Car Owner,761,Car Owner
Labourer Farm,756,Farm Labourer
Cook Domestic,747,Cook Domestic
House Carpenter,746,House Carpenter
Medical Student,744,Medical Student
Coach Builder,729,Coach Builder
Lace Maker,720,Lacemaker
Farmer Labourer,714,Farmer Labourer
Boot and Shoe Maker,712,Boot and Shoe Maker
Iron Moulder,710,Iron Moulder
Agricultural Laborer,705,Agricultural Labourer
Book Folder,705,Book Folder
Factory Hand,702,Factory Hand
Compositor,700,Compositor
Coal Miner,697,Coal Miner
Domestic Servant Cook,697,Domestic Servant Cook
Coal Labourer,696,Coal Labourer
Nurse-Domestic Servant,694,Nurse Domestic Servant
Tin Smith,689,Tinsmith
Spirit Merchant,678,Spirit Merchant
Servant-Domestic,675,Domestic Servant
Shop Porter,673,Shop Porter
Farm Labour,670,Farm Labour
Fireman,667,Fireman
Mendicant,662,Mendicant
No,658,No
Domestic General Servant,656,General Domestic Servant
Engine Fitter at Works,655,Engine Fitter at Works
French Polisher,655,French Polisher
