occupation,count
Farm Labourers Mother,1
Farm Labourers Sister,1
Farm Labourers wife,1
Farm Labourery,1
Farm Labourey,1
Farm Labourier,1
Farm Labouring Boy,1
Farm Labouring Man,1
Farm Labouringman,1
Farm Labourreer,1
Farm Labr and Caretaker,1
Farm Labr.,1
Farm Labrer,1
Farm Labrour and Servant,1
Farm Labrourers Wife,1
Farm Labrours,1
Farm Labs Daughter,1
Farm Labs. Wife,1
Farm Labuerer,1
Farm Labur,1
Farm Laburrer,1
Farm Ladourer,1
Farm Laghbouer,1
Farm Laibouer,1
Farm Laibour,1
Farm Land and House Property,1
Farm Laobre,1
Farm Laoburer,1
Farm Laouber,1
Farm Laouberer,1
Farm Laourer,1
Farm Lauborar,1
Farm Laubouers,1
Farm Laur,1
Farm Laurer,1
Farm Laybourer,1
Farm Leaberrer,1
Farm Leaborer,1
Farm Leaborour,1
Farm Leabouer and Fisher,1
Farm Leamourer Domestic,1
Farm Leberer,1
Farm Lebuar Labourer,1
Farm Leighbourer,1
Farm Leighsource,1
Farm Loburer,1
Farm Maid,1
Farm Maker,1
Farm Mannager,1
Farm Master in Woollen Factory,1
Farm Mrs,1
Farm Nephew,1
Farm Occasionally,1
Farm Overseer,1
Farm Oversees,1
Farm Owner's Daughter,1
Farm Postman,1
Farm Produce Commission Agent,1
Farm Produce Dealer,1
Farm Produce Merchant,1
Farm Produce Supplier,1
Farm Publican,1
Farm Pupil,1
Farm Qualified Servant,1
Farm S,1
Farm Sample Maker,1
Farm Sarant,1
Farm Scolar,1
Farm Seamstress,1
Farm Searvant,1
Farm Seavant,1
Farm Seaveant,1
Farm Seervant,1
Farm Sereant,1
Farm Serent,1
Farm Serpant,1
Farm Sert Labourer,1
Farm Sert Ploughman,1
Farm Serv Domestic,1
Farm Serv't,1
Farm Serv.,1
Farm Serva,1
Farm Servan (Domestic),1
Farm Servan Domestc,1
Farm Servan Domestic,1
"Farm Servant ""Domst""",1
"Farm Servant ""Domstc""",1
Farm Servant (Dairy Woman),1
Farm Servant (Domestic,1
Farm Servant (Herd),1
Farm Servant (Not Employed),1
Farm Servant (Out of Employment),1
Farm Servant (Retired),1
Farm Servant (Visiting),1
Farm Servant A Herdsman,1
Farm Servant Agricl,1
Farm Servant Agriculter,1
Farm Servant Agricultural-Labourer,1
Farm Servant Agril,1
Farm Servant Agrl Labourer,1
Farm Servant Assistant,1
Farm Servant Caretaker,1
Farm Servant Caretaker General Servant,1
Farm Servant Cattle Drover,1
Farm Servant Coachman,1
Farm Servant Cotter's Son,1
Farm Servant Cottier,1
Farm Servant D S,1
Farm Servant D.S Unemployed,1
Farm Servant Domc,1
Farm Servant Domestic Agricu,1
Farm Servant Domestick,1
Farm Servant Doms,1
Farm Servant Domst,1
Farm Servant Domt,1
Farm Servant Dos,1
Farm Servant Dot.,1
Farm Servant Farm,1
Farm Servant Formerly,1
Farm Servant Gen,1
Farm Servant General and Caretaker,1
Farm Servant Generally Caring Cows,1
Farm Servant Gunner Wicklow Royal Artillary Militia Not Embodied,1
Farm Servant Hard,1
Farm Servant Herd-Boy,1
Farm Servant Herdsman,1
Farm Servant Herrid Shepherd,1
Farm Servant House,1
Farm Servant India Stock,1
Farm Servant Labour Gen,1
Farm Servant Man Servant,1
Farm Servant Now Out of Employment,1
Farm Servant Plough Man,1
Farm Servant Scholar,1
Farm Servant Sea Man,1
Farm Servant Steward,1
Farm Servant Working Hand,1
Farm Servant agrl,1
Farm Servant and Attendant,1
Farm Servant and Boot Maker,1
Farm Servant and Bootmaker Unemployed,1
Farm Servant and C,1
Farm Servant and Domestic,1
Farm Servant and Gardener-Domestic Servant,1
Farm Servant and General Man,1
Farm Servant and Groom,1
Farm Servant and Herdsman,1
Farm Servant and Ploughman,1
Farm Servant and Shoemaker,1
Farm Servant and Shopkeeper,1
Farm Servant now Retired from Business,1
Farm Servant on Farm,1
Farm Servant or General Man,1
Farm Servant-(Domestic,1
Farm Servant-Boy,1
Farm Servant-Dom,1
Farm Servant-Housekeeper,1
Farm Servant-Labourer,1
Farm Servant-Not Employd,1
Farm Servant-Not-Employd,1
Farm Servant-Unempld,1
Farm Servant. D,1
Farm Servant. Dom,1
Farm Servants Daughtr,1
