MISSING,885328
Scholar,826492
Farmers Son,130170
Farmers Daughter,106140
House Keeper,74430
Seamstress,43744
Scholars,34427
Farmers Wife,27725
Dressmaker,26746
None,19863
Carpenter,19375
Pupil,16267
No Occupation,15107
Linen Weaver,13560
Tailor,11643
Fisherman,8409
Laundress,7750
Shop Keeper,7749
Infant,7677
Nil,7658
Baker,6615
Shoemaker,6366
Attending School,6355
School,6060
Blacksmith,5985
At School,5880
Schollar,5773
Grocer,5565
House Wife,4940
Shepherd,4643
Wife,4585
Charwoman,4363
Schoolar,4341
School Boy,4231
Student,4223
Teacher,4107
Mill Worker,4047
Housewife,3993
Draper,3895
Painter,3879
Shopkeeper,3820
Butcher,3687
Black Smith,3647
National Teacher,3570
Cook,3490
Gardener,3435
Mason,3301
Dealer,3184
Carter,3183
Milliner,3168
Scolar,3157
Cattle Dealer,3026
Weaver,2950
Car Driver,2873
School Girl,2865
Railway Porter,2735
Cooper,2719
Groom,2675
Coachman,2544
Laborer,2537
No Business,2525
House-Keeper,2510
Domestic,2510
Machinist,2509
Postman,2494
Messenger,2483
Farming,2411
Child,2401
Labour,2374
Caretaker,2360
Farmers Brother,2337
House Painter,2335
Tailoress,2272
Bricklayer,2269
Sailor,2206
Flax Spinner,2191
Plumber,2114
Spinner,2109
School Teacher,2051
Farmers,2028
Scholor,2025
Stone Mason,1969
Cambric Weaver,1964
Damask Weaver,1955
Plasterer,1950
House Work,1946
Scollar,1888
Army Pensioner,1875
National School Teacher,1809
House Maid,1805
Daughter,1790
Flax Dresser,1774
House Keeping,1767
Joiner,1764
Spinster,1762
Van Driver,1697
Merchant,1678
Governess,1657
General Labour,1578
Knitter,1568
Stone Cutter,1545
Wool Weaver,1516
Going To School,1506
Embroiderer,1479
Son,1469
Message Boy,1467
No Profession,1395
Confectioner,1362
Machinest,1360
Solicitor,1351
Labourers Wife,1349
Porter,1301
Visitor,1299
Housemaid,1291
Linnen Weaver,1285
Char Woman,1281
At Home,1229
Sholar,1227
Book Keeper,1224
Victualler,1223
Gardner,1215
Smoother,1198
Musician,1185
Farmeress,1161
Saddler,1148
Soldier,1130
Weaver Linen,1114
Stitcher,1113
Cotton Weaver,1100
Winder,1097
Carman,1077
No Employment,1040
Hemstitcher,1033
Bootmaker,1027
Post Man,1018
Housekeeping,1001
Printer,985
Engine Driver,976
General Servt Domestic,969
Not At School,944
Lodging House Keeper,942
Miller,905
Seaman,895
Sewer,893
Pedlar,884
Land Steward,883
Linen Winder,876
Washerwoman,869
Rural Postman,865
Fish Dealer,849
Printer-Compositor,841
Barmaid,831
Dividends,818
Labourers Daughter,808
Unemployed,801
Car Owner,799
Dairy Maid,798
Cook Domestic,783
House Carpenter,780
Medical Student,773
Coach Builder,753
Iron Moulder,750
Book Folder,745
Compositor,736
Fireman,727
Spirit Merchant,721
Tin Smith,721
Coal Miner,706
No,694
Domestic Servt,691
Shop Porter,690
Van Man,684
Mendicant,683
French Polisher,679
Reeler,669
Wool Spinner,666
Millworker,658
Sawyer,657
Carrier,655
Coach Painter,650
Retired Grocer,650
Builder,649
General Laborer,634
Washer Woman,634
Religious,622
Fowl Dealer,617
Interest Of Money,616
Slater,616
Telegraphist,612
Linen Lapper,608
Iron Turner,604
Music Teacher,599
Brick Layer,593
Hair Dresser,592
Game Keeper,590
Veiner,590
Boarder,589
Houskeeper,580
Waiter,575
Coach Man,573
Monitress,572
Smith,571
Herdsman,570
Fisher Man,570
Nothing,564
Butler,561
Linen Spinner,557
Stonecutter,555
Yarn Winder,554
Railway Guard,554
Clergyman,554
Shipwright,553
Dairyman,553
Annuity,549
Lace Worker,547
?,547
