Irish And English,Irish English
English
Irish
Irish English
English And Irish,Irish English
English Only,English
No,English
English Language,English
English Irish,Irish English
Irish Only,Irish
Nil,English
English L,English
None
Irish Language,Irish
No Irish,English
Broken English,English
Irish A English,Irish English
Speak English,English
Scotch
Only English,English
French
Cannot Speak,None
Can Speak Irish And English,Irish English
Yes,Irish English
Both,Irish English
Both English,Irish English
Irish And C English,Irish English
Not,English
Cannot Speak Irish,English
Speaks English,English
Cannot,English
Can Speak English And Irish,Irish English
Speak Irish And English,Irish English
Neither,None
Irish Or English,Irish English
Plain English,English
English And French,English French
No English,English
Speak Irish,Irish
Infant,None
Speaks Irish And English,Irish English
Can Speak English,Irish English
Speak English Only,English
Learning Irish,Irish English
A Little Irish And English,Irish English
No Language,None
Irish And English Language,Irish English
English And Some Irish,Irish English
Scotch And English,Scotch English
Irish And,Irish English
Spas English,English
Welsh And English,English Welsh
None Speak Irish,English
All English,English
French And English,English French
Irish On English,Irish English
Can Speak Irish English,English
Can't Speak,None
Can Speak Irish,Irish
Can't Speak Irish,English
G And English,English German
English And English,English
Irish L,Irish
English Language Only,English
Irish Yes English,Irish English
Language English,English
Irish Of English,Irish English
Yes Irish And English,Irish English
Irish And Language,Irish Latin
Not Irish,English
English And German,English German
Both Irish And English,Irish English
Irish English Language,Irish English
Read English,English
English A Irish,Irish English
English French
English Languages,English
Irish Language And English,Irish English
English And Welsh,English Welsh
England Language,English
Norwegian
Scotch English
English And Little Irish,Irish English
Cannot Speak English,Irish
Nothing,None
German And English,English German
Irish Scotch
Irish Languages,Irish
English German
Don't Speak Irish,English
Speaker English,English
English English,English
None Can Speak Irish,English
Irish And Welsh,Irish Welsh
And English,Irish English
Not Speaking,None
English Learning Irish,Irish English
Language,English
British English,English
Prof English,English
Speaks Irish,Irish
All Speak English Only,English
Can Speak English Irish,Irish English
English No Irish,English
Does Not Know,English
Learning,Irish English
Not Any,English
Both Languages,Irish English
Speak Irish English,Irish English
Cannot Talk,None
Can Irish And English,Irish English
Speaks English Only,English
Speaks English And Irish,Irish English
English Irish Language,Irish English
Cannot Irish,English
No Irish Spoken,English
Irish And English Yes,Irish English
Broken In English,English
Irish And Irish,Irish
English And Scotch,Scotch English
English D Irish,Irish English
Understands English And Irish,Irish English
English Scotch,Scotch English
No Irish Speaking,English
Can't Speak Yet,None
Hebrew Scotch
Irish And English Only,Irish English
Cannot Speak English Or Irish,None
No Irish Language,English
Can't Irish Can English,English
Here And English,Hebrew English
Irish Wn,Irish
In,Irish
Irish None,English
Read Irish,Irish
English And,Irish English
Irish English Only,Irish English
Saxon,English
Can Speak,Irish English
No Knowledge,None
English Fan,English
Know Nothing About Irish English Only,English
Speak English And Irish,Irish English
Irish Spoken,Irish
English Large,English
Welsh
Italian
English Educated,English
Irish And English H,Irish English
Can Speak English Only,English
Certainly Not,English
Both L,Irish English
German
Irish D English,Irish English
Read And Write English,English
Spas Irish English,Irish English
Know,English
Irish And English Not,Irish English
Irish Accent,English
Italian And English,English Italian
British Only,English
Learning Irish English,Irish English
Hebrew And English,Hebrew English
English Or Irish,Irish English
British,English
By Linguist,Irish English
English Not By Choice,English
Flemish,Dutch
Irish And English Can Speaker Both,Irish English
Broken Irish,Irish English
Both Language,Irish English
Cannot Speak Yet,None
English And Germany,English German
Irish H,Irish
Hebrew
Can't English,English
Irish And Scotch,Irish Scotch
Tongue Or Language,Irish English
Understand English And Irish,Irish English
Read And Write,Irish English
Scotch Scotch,Scotch
Not Able To Speak,None
Flemish And English,Dutch English
No Irish Spoken With Any One In House,English
English Welsh
Can Speaks English,English
Beginning,Irish English
C Speaker Irish And English,Irish English
Do Not Speak It,English
Scholar,Irish English
Irish English French
Both English And Irish,Irish English
Welsh Language,Welsh
H Both,Irish English
Irish And English L,Irish English
Common English,English
Write English,English
None But English,English
English And Irish Language,Irish English
Nothing Foolish,English
Irish Scotch C,Irish Scotch
German English,English German
Book Language,Irish English
Don't Know Irish,English
Cannot Read,English
Scotch And Irish,Irish Scotch
English And Scotch Irish,English Scotch Irish
Irish Nor English,None
