Read And Write
Cannot Read,Illiterate
Read,Read
Can Read And Write,Read And Write
Read Write,Read And Write
Cannot Read Or Write,Illiterate
Read Only,Read
Can Read,Read
Cannot,Illiterate
No,Illiterate
Can Read Write,Read And Write
Cannot Read And Write,Illiterate
Cannot Read Nor Write,Illiterate
Can Read Only,Read
Yes,Read And Write
Both,Read And Write
Cannot Write,Read
Neither,Illiterate
Cannot Read Write,Illiterate
Not Read,Illiterate
Write And Read,Read And Write
Not Read Or Write,Illiterate
Both Read And Write,Read And Write
Nil,Illiterate
Yes Read And Write,Read And Write
Can Read Or Write,Read And Write
Read Or Write,Read And Write
Neither Read Or Write,Illiterate
None,Illiterate
Write
Read Not Write,Read
Neither Read Nor Write,Illiterate
Write Read,Read And Write
Illiterate
Read Nor Write,Illiterate
Not,Illiterate
Read And Cry Write,Read And Write
Educated,Read And Write
Can Not Read,Write
Can Write,Write
Read And Write Yes,Read And Write
Read Cannot Write,Read
Not Read Nor Write,Illiterate
Read And Write Both,Read And Write
Yes Both,Read And Write
Not Read And Write,Illiterate
Cannot Write Or Read,Illiterate
Read And Read,Read And Write
Cry Read And Write,Read And Write
