Indian,Indian
English,English
Latin,Latin
Hebrew,Jewish
Greek,Greek
German,German
French,French
Irish,Celtic
Arabic,Arabic
Spanish,Romance
Italian,Romance
English (Rare),English
Muslim,Arabic
Turkish,Turkish
Welsh,Celtic
Scottish,Celtic
Russian,Slavic
Finnish,Finnish
Polish,Slavic
Japanese,Japanese
Scandinavian,Scandinavian
Hungarian,Slavic
Dutch,Dutch
Sanskrit,Indian
Ancient Germanic,German
African,African
Anglo-Saxon,English
Ancient Greek,Ancient Greek
Biblical,Biblical
Portuguese,Romance
Ancient Roman,Roman
Persian,Persian
Gaelic,Celtic
Greek Mythology,Ancient Greek
Teutonic,German
Ancient Scandinavian,Scandinavian
Basque,Romance
Late Roman,Roman
Punjabi,Indian
Celtic,Celtic
Czech,Slavic
Lithuanian,Slavic
Croatian,Slavic
Georgian,Georgian
English (Modern),English
Romanian,Slavic
Norwegian,Scandinavian
American Indian,Native American
Slovene,Slavic
Ancient Greek (Latinized),Ancient Greek
Yiddish,Jewish
Hawaiian,Hawaiian
Bulgarian,Slavic
Armenian,Armenian
Biblical Greek,Biblical
History,History
Swedish,Scandinavian
Hindi,Indian
Biblical Hebrew,Biblical
Latvian,Slavic
Icelandic,Scandinavian
Greek Mythology (Latinized),Ancient Greek
Chechen,Slavic
Macedonian,Slavic
"Indian, Hinduism",Indian
Vietnamese,Vietnamese
Catalan,Romance
Biblical Latin,Biblical
Native American,Native American
"Croatian, Serbian",Slavic
Danish,Scandinavian
Ukrainian,Slavic
Esperanto,Romance
"Spanish, Portuguese",Romance
Literature,Literature
"Hebrew, Biblical Hebrew",Biblical
"Swedish, Norwegian, Danish",Scandinavian
Roman Mythology,Roman
Slavic,Slavic
Serbian,Slavic
Medieval English,English
Slovak,Slavic
Various,Various
"Western African, Igbo",African
Medieval Slavic,Slavic
Albanian,Slavic
"Bulgarian, Macedonian",Slavic
"Czech, Slovak",Slavic
English (Archaic),English
Frisian,Dutch
"Italian, Spanish",Romance
Portuguese (Brazilian),Romance
Irish Mythology,Celtic
Chinese,Chinese
"Western African, Yoruba",African
Norse Mythology,Scandinavian
Indonesian,Indonesian
"Irish, Irish Mythology",Celtic
Maori,Maori
Limburgish,Limburgish
Old Church Slavic,Slavic
"Serbian, Croatian",Slavic
"Slovene, Croatian",Slavic
"Danish, Norwegian",Scandinavian
Estonian,Slavic
"German, Ancient Germanic",German
"Irish, Scottish",Celtic
Thai,Thai
"Russian, Ukrainian",Slavic
"Ancient Scandinavian, Icelandic",Scandinavian
Bosnian,Slavic
"Italian, Spanish, Portuguese",Romance
Near Eastern Mythology,Persian
"Biblical Latin, Biblical Greek",Biblical
Korean,Korean
Persian Mythology,Persian
Mongolian,Mongolian
"Western African, Akan",African
Ancient Irish,Celtic
"Eastern African, Swahili",African
Ancient Celtic,Celtic
Breton,Celtic
"Dutch, Limburgish","Dutch, Limburgish"
Kazakh,Kazakh
African American (Modern),American 
Ancient Germanic (Latinized),German
Egyptian Mythology,Ancient Egyptian
Galician,Romance
Azerbaijani,Azerbaijani
"Biblical, Biblical Hebrew",Biblical
"Biblical, Biblical Latin",Biblical
"Croatian, Serbian, Slovene",Slavic
French (Rare),French
"German, Dutch","Dutch, German"
"Greek, Ancient Greek",Ancient Greek
Polish (Rare),Slavic
African American (Rare),American 
Ancient Egyptian,Ancient Egyptian
Late Greek,Ancient Greek
Medieval French,French
Swahili,African
Arthurian Romance,"Celtic, English"
"Greek Mythology, Ancient Greek",Ancient Greek
African American,American
"Indonesian, Javanese","Indonesian, Javanese"
Slavic Mythology,Slavic
Welsh Mythology,Celtic
Yoruban,Yoruban
"Ancient Greek, Biblical Greek",Ancient Greek
Ancient Persian,Persian
Cornish,Cornish
Finnish Mythology,Finnish
Judeo-Christian Legend,Biblical
"Native American, Mapuche",Native American
"Pakistani, Urdu",Indian
"Persian, Persian Mythology",Persian
"Biblical, Biblical Latin, Biblical Greek",Biblical
"Eastern African, Amharic",African
"Frisian, Dutch",Dutch
German (Archaic),German
Khmer,Khmer
"Native American, Greenlandic",Scandinavian
"Norwegian, Danish",Scandinavian
"Spanish, Italian",Romance
Astronomy,Astronomy
Celtic Mythology,Celtic
English (British),English
"Finnish, Estonian","Finnish, Slavic"
Nigerian,African
"Portuguese, Spanish",Romance
"Serbian, Macedonian",Slavic
"Southern African, Zulu",African
"Croatian, Slovene",Slavic
"Italian, Ancient Roman",Roman
Manx,Manx
Medieval Spanish,Romance
"Northern African, Berber",African
Russian (Rare),Slavic
"Scottish, Irish",Celtic
"Southern African, Xhosa",African
"Turkish, Azerbaijani","Azerbaijani, Turkish"
Uyghur,Uyghur
"Welsh Mythology, Arthurian Romance","Celtic, English"
Anglo-Saxon (Latinized),English
Aztec and Toltec Mythology,Aztec and Toltec Mythology
Belarusian,Slavic
"Biblical, Hebrew, Biblical Hebrew",Biblical
"Eastern African, Ganda",African
"Eastern African, Luo",African
Finnish (Rare),Finnish
"French, Breton","Celtic, French"
Hindu,Indian
"Indonesian, Malay","Indonesian, Malay"
"Irish, Scottish, Irish Mythology",Celtic
Medieval Slavic (Hypothetical),Slavic
Polish (Archaic),Slavic
Popular Culture,Popular Culture
"Russian, Bulgarian",Slavic
