name,gender,CN_AppRank,IRE1901_AppRank,IRE1911_AppRank,EW_AppRank,SC_AppRank,NI_AppRank,UK_AppRank,USA_AppRank,isBCenter,isBWizard,isBNames,origin,Total_AppRank
AABAN,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AADAM,M,uncommon,unused,unused,common,common,unused,uncommon,rare,1.0,0.0,0.0,,rare
AADEN,M,uncommon,unused,unused,rare,rare,unused,rare,rare,1.0,1.0,0.0,,rare
AADHIRA,F,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AADHYA,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,Indian,rare
AADI,M,uncommon,unused,unused,uncommon,rare,unused,rare,rare,1.0,1.0,0.0,Indian,rare
AADIL,M,uncommon,unused,unused,common,uncommon,unused,uncommon,rare,1.0,0.0,0.0,Arabic,rare
AADILA,F,rare,unused,unused,rare,rare,unused,rare,unused,1.0,0.0,0.0,,rare
AADIT,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AADITRI,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AADITYA,M,rare,unused,unused,uncommon,unused,unused,rare,rare,1.0,0.0,0.0,,rare
AADVIK,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AADYA,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAFIA,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAHAD,M,rare,unused,unused,rare,rare,unused,rare,unused,1.0,0.0,0.0,,rare
AAHANA,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAHIL,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAHRON,M,rare,rare,unused,unused,rare,unused,unused,rare,1.0,1.0,0.0,,rare
AAINA,F,rare,unused,unused,rare,rare,unused,rare,unused,0.0,1.0,0.0,,rare
AAIRA,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAIRAH,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAISHA,F,rare,unused,unused,common,uncommon,unused,uncommon,rare,1.0,0.0,0.0,,rare
AAKARSH,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAKASH,M,uncommon,unused,unused,common,rare,unused,rare,uncommon,1.0,0.0,0.0,,rare
