name,gender,AB_appFrac,AB_avgVal,BC_appFrac,BC_avgVal,OT_appFrac,OT_avgVal,CN_appFrac,CN_avgVal
AABAN,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
AABID,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
AABIR,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
AABIS,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADAM,M,0.192,1.2,0.0,0.0,0.01,5.0,0.067,2.067
AADAN,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
AADARSH,M,0.115,1.33,0.0,0.0,0.0,0.0,0.038,0.443
AADEEP,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADEN,M,0.385,3.6,0.02,11.0,0.01,10.0,0.138,8.2
AADESH,M,0.115,1.0,0.0,0.0,0.0,0.0,0.038,0.333
AADHARSH,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADHAV,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADHAVAN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADHEEN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADHI,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADHIL,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADHITEYA,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADHITYA,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADHYA,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
AADHYA,F,0.077,2.0,0.0,0.0,0.01,13.0,0.029,5.0
AADI,M,0.231,2.17,0.0,0.0,0.01,10.0,0.08,4.057
AADIL,M,0.192,1.2,0.0,0.0,0.01,6.0,0.067,2.4
AADILA,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
AADINEER,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADIT,M,0.154,1.0,0.0,0.0,0.0,0.0,0.051,0.333
AADITRI,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
AADITYA,M,0.192,1.4,0.0,0.0,0.01,5.0,0.067,2.133
AADL,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADLE,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADON,M,0.115,1.0,0.0,0.0,0.0,0.0,0.038,0.333
AADRA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADRIAN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADRIENNE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADRIKA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADVIK,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADVIKA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AADYA,F,0.154,1.5,0.0,0.0,0.01,6.0,0.055,2.5
AADYN,M,0.192,1.4,0.0,0.0,0.0,0.0,0.064,0.467
AAEMA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AAEN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AAESHA,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
AAFARIDA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AAFIA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
AAFIYA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
