name,gender,AB_avgVal,BC_avgVal,OT_avgVal,CN_avgVal,NI_avgVal,SC_avgVal,EW_avgVal,UK_avgVal,13_avgVal,BS_avgVal,FS_avgVal,PC_avgVal,TE_avgVal,USA_avgVal,VR_avgVal
AADAM,M,1.2,0.0,5.0,2.067,0.0,1.96,73.58,25.18,0.0,0.0,0.0,0.0,0.0,9.08,0.0
AADEN,M,3.6,11.0,10.0,8.2,0.0,1.33,4.0,1.777,11.72,12.2,8.32,19.03,17.17,280.87,0.0
AADI,M,2.17,0.0,10.0,4.057,0.0,1.0,12.64,4.547,6.36,7.17,0.0,8.92,7.67,54.62,0.0
AADYA,F,1.5,0.0,6.0,2.5,0.0,1.5,11.89,4.463,7.1,6.55,5.0,9.87,10.0,55.15,0.0
AAHIL,M,3.0,0.0,8.0,3.667,0.0,2.43,36.64,13.023,7.73,0.0,0.0,7.25,8.25,25.44,0.0
AALIYA,F,1.82,0.0,7.0,2.94,0.0,1.0,25.55,8.85,5.52,5.0,6.0,6.13,6.98,46.74,0.0
AALIYAH,F,20.05,20.75,6.0,15.6,9.0,13.72,363.75,128.823,60.98,54.84,32.64,88.37,100.14,1867.75,6.44
AAMINA,F,1.0,0.0,5.0,2.0,0.0,1.67,48.5,16.723,0.0,5.0,0.0,5.0,5.0,11.64,0.0
AAMINAH,F,2.0,0.0,5.0,2.333,0.0,1.79,76.15,25.98,0.0,7.0,0.0,5.0,0.0,13.12,0.0
AAMIR,M,1.2,0.0,7.0,2.733,0.0,1.4,27.26,9.553,6.69,6.04,0.0,7.55,7.92,40.31,0.0
AANYA,F,2.64,6.0,6.0,4.88,0.0,2.0,30.71,10.903,9.86,7.49,5.25,14.17,10.24,120.89,0.0
AARALYN,F,1.67,0.0,0.0,0.557,0.0,1.0,3.0,1.333,6.77,6.0,5.5,13.3,7.76,84.23,0.0
AARAV,M,8.58,18.5,7.0,11.36,0.0,4.5,79.17,27.89,14.22,10.21,7.5,24.24,13.12,272.14,0.0
AARIZ,M,3.56,0.0,7.0,3.52,0.0,1.29,30.27,10.52,5.83,7.2,0.0,8.2,9.78,39.0,0.0
AARNA,F,2.5,0.0,7.0,3.167,0.0,2.25,16.33,6.193,7.64,7.58,5.0,12.41,8.33,88.82,0.0
AARON,M,84.37,104.58,7.0,65.317,138.0,174.07,1599.42,637.163,90.76,136.86,79.13,194.53,121.63,4123.85,20.88
AARUSH,M,2.5,5.0,7.0,4.833,0.0,1.71,25.64,9.117,8.48,7.22,0.0,15.6,10.5,121.0,0.0
AARYA,F,2.87,5.5,6.0,4.79,0.0,2.0,24.0,8.667,8.62,5.5,0.0,10.63,9.43,70.62,0.0
AARYAN,M,3.46,7.75,9.0,6.737,0.0,1.9,49.8,17.233,7.15,6.29,0.0,9.4,7.21,72.87,0.0
AAYAN,M,3.73,5.0,5.0,4.577,0.0,3.0,77.09,26.697,9.15,7.71,0.0,13.3,8.2,78.92,0.0
AAYUSH,M,1.8,0.0,5.0,2.267,0.0,1.0,12.88,4.627,5.85,5.75,0.0,10.29,6.04,54.53,0.0
ABAGAIL,F,2.25,0.0,8.0,3.417,0.0,1.0,4.2,1.733,7.43,8.58,5.92,6.92,8.28,109.5,0.0
ABBAS,M,2.77,0.0,6.0,2.923,0.0,1.73,45.21,15.647,5.83,8.17,5.0,6.8,6.14,27.17,0.0
ABBEY,F,8.2,9.07,5.0,7.423,5.29,16.83,138.2,53.44,9.89,14.75,8.3,10.02,11.45,213.95,0.0
ABBI,F,1.42,0.0,5.0,2.14,5.54,14.22,56.75,25.503,6.62,6.21,6.0,0.0,5.47,41.62,0.0
ABBIE,F,3.45,5.71,5.0,4.72,53.84,98.37,760.75,304.32,7.19,10.11,8.72,8.19,9.83,155.05,0.0
ABBIGAIL,F,6.65,7.0,5.0,6.217,0.0,2.28,27.55,9.943,9.6,12.74,8.09,12.4,14.05,216.88,0.0
ABBIGALE,F,2.19,0.0,5.0,2.397,0.0,1.0,5.1,2.033,5.43,5.9,5.0,5.64,6.12,64.47,0.0
ABBOTT,M,1.33,0.0,0.0,0.443,0.0,0.0,0.0,0.0,6.5,5.0,0.0,5.0,6.25,11.86,0.0
ABBY,F,20.81,16.48,5.0,14.097,13.61,40.87,223.65,92.71,16.78,32.94,14.08,16.09,28.34,431.81,5.17
ABBYGAIL,F,3.8,0.0,6.0,3.267,0.0,1.0,7.06,2.687,7.27,6.34,6.75,11.08,8.04,106.3,0.0
ABDIAS,M,1.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,6.2,16.22,0.0
ABDIEL,M,1.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,7.92,6.37,8.38,10.52,13.72,86.17,0.0
ABDIRAHMAN,M,3.08,0.0,5.0,2.693,0.0,1.5,55.68,19.06,5.0,21.86,5.75,7.63,5.33,64.45,0.0
ABDUL,M,5.48,7.0,6.0,6.16,4.0,7.49,274.63,95.373,8.6,6.89,0.0,8.28,5.74,71.93,0.0
ABDULLAH,M,8.08,6.5,9.0,7.86,4.0,7.09,243.47,84.853,9.45,8.71,7.1,10.52,8.5,111.25,0.0
ABDULLAHI,M,3.08,0.0,8.0,3.693,0.0,1.0,39.26,13.42,5.5,10.07,5.0,7.25,5.0,52.68,0.0
ABDULRAHMAN,M,2.33,0.0,8.0,3.443,0.0,1.46,40.11,13.857,6.32,6.41,0.0,7.5,6.5,50.61,0.0
ABE,M,1.78,0.0,5.0,2.26,0.0,1.0,6.59,2.53,8.86,6.88,5.0,6.35,6.07,66.28,0.0
ABEGAIL,F,1.27,0.0,0.0,0.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.5,15.93,0.0
