name,gender,IRE1911_AppRank
A,F,basic
A,M,basic
AAARON,M,rare
AAELUIA,F,rare
AAGNES,F,rare
AAGOT,F,rare
AAINI,F,rare
AALICE,F,uncommon
AALICSQUE,F,rare
AALLEY,F,rare
AAM,M,rare
AAMELIA,F,rare
AAMIS,F,rare
AAMNIE,F,rare
AANASTASIA,F,rare
AANASTATIA,F,uncommon
AANDREW,M,rare
AANE,F,uncommon
AANIE,F,uncommon
AANNA,F,uncommon
AANNE,F,common
AANNIE,F,basic
AANNIS,F,rare
AANNY,F,rare
AANORAH,F,rare
AANORIA,F,rare
AANTHONY,M,uncommon
AANTONY,M,rare
AANTY,F,rare
AANY,F,rare
AARAN,M,rare
AARCBOLD,M,rare
AARCOM,F,rare
AARDNER,M,rare
AARIAGH,F,rare
AARON,M,basic
AARRON,M,common
AARSHABALD,M,rare
AARTHUR,M,rare
AARY,F,rare
AASTASIA,F,rare
AATILDAN,F,rare
ABAGAIL,F,basic
ABAGAL,F,uncommon
ABAGALE,F,rare
ABAGIAL,F,uncommon
ABARAM,M,rare
ABASLOM,M,rare
ABBA,F,rare
ABBAN,M,uncommon
ABBAY,F,rare
ABBE,F,uncommon
ABBEAL,F,rare
ABBERT,M,uncommon
ABBEY,F,basic
ABBEYGALE,F,rare
ABBIE,F,basic
ABBIE,M,rare
ABBIGAIL,F,common
ABBIGAL,F,common
ABBIN,M,common
ABBINA,F,common
ABBIRT,M,rare
ABBONER,M,rare
ABBOTT,M,uncommon
ABBY,F,basic
ABBY,M,common
ABBYBALE,F,rare
ABBYGAILL,F,rare
ABBYGALE,F,uncommon
ABBYGILL,F,rare
ABE,M,uncommon
ABEART,M,rare
ABEE,F,rare
ABEGAIL,F,basic
ABEGAL,F,uncommon
ABEJAIL,F,rare
ABEL,M,basic
ABELENA,F,rare
ABELIA,F,uncommon
ABELINA,F,uncommon
ABENEZER,M,rare
ABER,F,rare
ABERAHAM,M,uncommon
ABERINA,M,rare
ABERNETHY,M,rare
ABERT,M,common
ABERTA,F,rare
ABERTUS,M,rare
ABEY,M,uncommon
ABEY,F,uncommon
ABGAIL,F,rare
ABGAR,M,rare
ABHRAM,M,rare
ABICAL,F,rare
ABIE,F,rare
ABIE,M,rare
ABIEL,F,rare
ABIEL,M,rare
ABIGAEL,F,common
ABIGAIE,F,rare
ABIGAIL,F,basic
ABIGAL,F,basic
ABIGALD,F,rare
ABIGALE,F,rare
ABIGALL,F,rare
ABIGIAL,F,basic
ABIGILL,F,rare
ABIGINAL,F,uncommon
ABIGONDL,F,rare
ABIGUE,F,rare
ABIJAH,M,rare
ABIL,F,rare
ABILA,F,rare
ABILGAIL,F,rare
ABILIA,F,rare
ABIN,F,uncommon
ABIN,M,rare
ABINA,F,basic
ABINA,M,uncommon
ABINAH,F,uncommon
ABINE,F,common
ABINEA,F,uncommon
ABINEY,F,rare
ABINGALE,F,rare
ABINIA,F,common
ABINIE,F,rare
ABINN,F,rare
ABINNA,F,rare
ABLASOM,M,rare
ABLE,M,common
ABLE,F,rare
ABLERT,M,rare
ABNER,M,uncommon
ABONY,F,rare
ABORIA,F,rare
ABOUSIA,F,rare
ABRACALE,F,rare
ABRAGHAM,M,rare
ABRAHAHAM,M,rare
ABRAHAM,F,rare
ABRAHAM,M,basic
ABRAHAN,M,uncommon
ABRAM,M,basic
ABRAMHAM,M,uncommon
ABRAMINA,F,rare
ABREHAM,M,uncommon
ABRHAM,M,rare
ABRIGAIL,F,uncommon
ABSALOM,M,basic
ABSLOM,M,rare
ABSOLAM,M,uncommon
ABSOLEM,M,rare
ABSOLOM,M,rare
ABY,M,rare
ABY,F,uncommon
ABYGAIL,F,rare
ABYNA,F,common
ABYNIA,F,rare
ABYSIOUS,M,rare
AC,M,rare
AC,F,rare
ACHALIAH,F,rare
ACHE,F,rare
ACHESON,M,basic
ACHIBALD,M,rare
ACHILLE,M,uncommon
ACHILLES,M,common
ACHILLIS,M,rare
ACHIRT,M,rare
ACHISON,M,uncommon
ACILLA,F,rare
ACY,F,rare
ADA,F,basic
ADAH,F,uncommon
ADAIN,M,rare
ADAIR,F,rare
ADAIR,M,uncommon
ADALADE,F,uncommon
ADALAID,F,rare
ADALAIDE,F,common
ADALATE,F,rare
ADALBERT,M,uncommon
ADALEE,F,rare
ADALEER,F,rare
ADALEINE,F,uncommon
ADALENA,F,rare
ADALENE,F,uncommon
ADALIADE,F,uncommon
ADALIDE,F,uncommon
ADALIN,F,rare
ADALINA,F,rare
ADALINE,F,common
ADALONE,F,rare
ADALPHERS,M,rare
ADAM,M,basic
ADAM,F,common
ADAMNSON,M,rare
ADAMS,F,uncommon
ADAMS,M,common
ADAN,M,common
ADANA,M,rare
ADANIEL,M,rare
ADANN,M,rare
ADARINE,F,rare
ADASA,F,rare
ADASSIE,F,rare
ADBORAH,F,rare
ADDA,F,uncommon
ADDALADE,F,rare
ADDALINE,F,rare
ADDALNE,F,rare
ADDELAIDE,F,rare
ADDERLY,M,rare
ADDESSA,F,rare
ADDIA,F,rare
ADDIE,M,common
ADDIE,F,common
ADDIELINA,F,rare
ADDIS,F,rare
ADDISON,M,uncommon
ADDY,F,rare
ADDY,M,uncommon
ADE,F,rare
ADELA,F,basic
ADELADE,F,common
ADELAID,M,rare
ADELAID,F,common
ADELAIDA,F,common
ADELAIDE,F,basic
ADELAIDS,F,rare
ADELAINE,F,common
ADELBERT,M,rare
ADELE,F,common
ADELEIDE,F,rare
ADELENA,F,uncommon
ADELENE,F,rare
ADELENE,M,rare
ADELIA,F,common
ADELIADE,M,rare
ADELIADE,F,basic
ADELIDE,F,common
ADELINA,F,common
ADELIND,F,rare
ADELINE,F,basic
ADELISE,F,rare
ADELIZA,F,rare
ADELL,F,rare
ADELLA,F,common
ADELLIA,F,rare
ADELS,M,rare
ADELSIDE,F,common
ADELU,F,rare
ADEN,M,common
ADENA,F,uncommon
ADERLAIDE,F,rare
ADESSA,F,common
ADESSIA,F,rare
ADGE,M,rare
ADGEY,M,rare
ADGIE,F,rare
ADIA,F,rare
ADIAN,M,uncommon
ADIE,F,rare
ADILADE,F,uncommon
ADILAIDE,F,uncommon
ADILANDE,F,rare
ADILE,F,rare
ADILINA,F,rare
ADILL,F,rare
ADIN,M,rare
ADINA,F,uncommon
ADINE,F,rare
ADITH,F,rare
ADLADE,F,rare
ADLAIDE,F,rare
ADLALIDE,F,uncommon
ADLEIADE,F,rare
ADLINE,F,uncommon
ADLISE,F,rare
ADMIRAL,M,rare
ADNNE,F,rare
ADO,M,rare
ADOLF,M,basic
ADOLINE,F,rare
ADOLLIS,F,rare
ADOLPH,M,common
ADOLPHE,M,uncommon
ADOLPHEN,M,rare
ADOLPHES,M,rare
ADOLPHINE,F,rare
ADOLPHUS,M,common
ADONIAH,M,rare
ADOPHUS,M,rare
ADORA,F,uncommon
ADORIS,F,rare
ADREW,M,uncommon
ADREW,F,rare
ADRIAN,F,rare
ADRIAN,M,common
ADRIANNA,F,rare
ADRIEN,M,rare
ADRIENNE,F,common
ADW,F,rare
ADWARD,M,uncommon
ADWENA,F,rare
ADY,F,uncommon
AE,F,rare
AEDAN,M,uncommon
AEDEEN,F,rare
AEI,F,rare
AEILEEN,F,rare
AELADE,F,rare
AELAKE,M,rare
AELEEN,F,rare
AELENA,F,rare
AELLIA,F,rare
