name,gender,NI_AppRank
AALIYAH,F,common
AARON,M,basic
ABAIGH,F,rare
ABBEY,F,basic
ABBI,F,common
ABBIE,F,basic
ABBY,F,basic
ABDALLAH,M,rare
ABDUL,M,rare
ABDULLAH,M,rare
ABEL,M,uncommon
ABI,F,common
ABIGAIL,F,basic
ABRAHAM,M,rare
ADA,F,rare
ADAM,M,basic
ADAS,M,rare
ADDISON,M,rare
ADDISON,F,uncommon
ADELE,F,common
ADEN,M,rare
ADRIAN,M,basic
ADRIANA,F,rare
ADRIANNA,F,uncommon
AEDAN,M,uncommon
AGATA,F,rare
AGNE,F,rare
AHMAD,M,rare
AHMED,M,uncommon
AIBHLINN,F,rare
AIDA,F,rare
AIDAN,M,basic
AIDEEN,F,common
AIDEN,M,basic
AILBHE,F,rare
AILEEN,F,uncommon
AILIS,F,rare
AILISE,F,rare
AILISH,F,rare
AILSA,F,rare
AIME,F,rare
AIMEE,F,basic
AIMIE,F,rare
AINE,F,basic
AIOBHEANN,F,rare
AIRONAS,M,rare
AISHA,F,uncommon
AISHLING,F,rare
AISHLINN,F,rare
AISLEEN,F,rare
AISLIN,F,rare
AISLING,F,basic
AISLINN,F,basic
AIVARAS,M,rare
AJ,M,rare
AJAY,M,rare
ALAN,M,basic
ALANA,F,basic
ALANAH,F,rare
ALANIS,F,rare
ALANNA,F,basic
ALANNAH,F,basic
ALASDAIR,M,rare
ALASTAIR,M,uncommon
ALAYA,F,rare
ALAYNA,F,rare
ALBA,F,rare
ALBERT,M,uncommon
ALBIE,M,rare
ALEAH,F,rare
ALEC,M,uncommon
ALECIA,F,rare
ALEESHA,F,rare
ALEISHA,F,rare
ALEKSANDER,M,uncommon
ALEKSANDRA,F,uncommon
ALESHA,F,common
ALEX,M,basic
ALEX,F,basic
ALEXA,F,uncommon
ALEXANDER,M,basic
ALEXANDRA,F,basic
ALEXANDRE,M,rare
ALEXANDRIA,F,common
ALEXIA,F,rare
ALEXIS,F,common
ALEYNA,F,rare
ALFIE,M,common
ALFRED,M,uncommon
ALI,M,uncommon
ALICE,F,basic
ALICIA,F,basic
ALICJA,F,uncommon
ALISHA,F,basic
ALISON,F,common
ALISSA,F,rare
ALISTAIR,M,common
ALISTER,M,rare
ALIVIA,F,rare
ALIX,F,uncommon
ALIYA,F,rare
ALIYAH,F,uncommon
