name,gender,SC_AppRank
A,M,rare
AABAN,M,rare
AABAS,M,rare
AABDAA,F,rare
AABEER,F,rare
AABIA,F,rare
AABIDAMMAR,M,rare
AABIRHA,F,rare
AABIYAH,F,rare
AADAL,M,rare
AADAM,M,common
AADELL,M,rare
AADEN,M,rare
AADEN,F,rare
AADHIRA,F,rare
AADHISH,M,rare
AADHITHYA,M,rare
AADHYA,F,rare
AADI,M,rare
AADIL,M,uncommon
AADILA,F,rare
AADISHIV,M,rare
AADIT,M,rare
AADITH,M,rare
AADITIYA,M,rare
AADITRI,F,rare
AADITYARAM,M,rare
AADM,M,rare
AADVIK,M,rare
AADVIKA,F,rare
AADYA,F,rare
AADYAN,M,rare
AADYN,M,rare
AAEEDAH,F,rare
AAEESHA,F,rare
AAELLA,F,rare
AAFAN,M,rare
AAFI,M,rare
AAFIA,F,rare
AAFIYAH,F,rare
AAFREEN,F,rare
AAFTAB,M,rare
AAGAT,M,rare
AAGIN,M,rare
AAGMAN,M,rare
AAHAD,M,rare
AAHANA,F,rare
AAHIL,M,rare
AAHILUDDIN,M,rare
AAHRON,M,rare
AAIDA,F,rare
AAIDAH,F,rare
AAIDEN,M,rare
AAILA,F,rare
AAILAH,F,rare
AAIMA,F,rare
AAINA,F,rare
AAIRA,F,rare
AAIRAH,F,rare
AAIRAN,M,rare
AAISHA,F,uncommon
AAISHAH,F,rare
AAISHWARYA,F,rare
AAIVA,F,rare
AAIYASHA,F,rare
AAIZA,F,rare
AAKARSH,M,rare
AAKASH,M,rare
AAKIFAH,F,rare
AAKRITI,F,rare
AAKRUTI,F,rare
AAKSAA,F,rare
AALA,F,rare
AALAA,F,rare
AALAM,M,rare
AALANA,F,rare
AALAYAH,F,rare
AALAYHA,F,rare
AALEAH,F,rare
AALEAHIA,F,rare
AALEEYAH,F,rare
AALEIA,F,rare
AALEIAH,F,rare
AALEIGHA,F,rare
AALEYAH,F,rare
AALIA,F,rare
AALIAH,F,rare
AALID,F,rare
AALIEGHA,F,rare
AALIHA,F,rare
AALIM,M,rare
AALIMAH,F,rare
AALIN,F,rare
AALISH,F,rare
AALISHA,F,rare
AALIVYA,F,rare
AALIYA,F,rare
AALIYAH,F,uncommon
AALIYHA,F,rare
AALIYHIA,F,rare
AALLAYA,F,rare
AALLAYAH,F,rare
AALLIYAH,F,rare
AALRYAH,F,rare
AALYA,F,rare
AALYAH,F,rare
AALYAN,M,rare
AALYSIA,F,rare
AAMAIRA,F,rare
AAMAL,F,rare
AAMAN,M,rare
AAMANA,F,rare
AAMANEE,F,rare
AAMAR,M,rare
AAMAYAH,F,rare
AAMER,M,rare
AAMERAH,F,rare
AAMIE,F,rare
