Fname,type,class,navy,country,startDate,endDate,daysActive
A. DeGroat,Tug,,USN,Usa,1863-01-01,1884-01-01,7670
A. G. Prentiss,,,USN,Usa,1918-03-28,1918-12-02,249
A. Houghton,Bark,,USN,Usa,1862-02-19,1865-06-09,1206
A. J. View,,,USN,Usa,,,
Aaron V. Brown,,,USN,Usa,,1864-01-01,
Aaron Ward,Destroyer,Allen M. Sumner,USN,Usa,1944-10-28,1945-09-28,335
Aaron Ward,Destroyer,Wickes,USN,Usa,1919-04-21,1940-09-09,7812
Aaron Ward,Destroyer,Bristol,USN,Usa,1942-03-04,1943-04-07,399
Abalone,Patrol Boat,,USN,Usa,1917-05-10,,
Abarenda,,,USN,Usa,1898-05-20,1926-01-21,10107
Abarenda,,,USN,Usa,1944-04-18,1946-02-28,681
Abatan,,Pasig,USN,Usa,1945-01-29,1947-01-27,728
Abbot,Destroyer,Wickes,USN,Usa,1919-06-19,1940-09-23,7767
Abbot,Destroyer,Fletcher,USN,Usa,1943-04-23,1965-03-26,8008
Abbotsham,Minesweeper,Ham,RN,Commonwealth,1955-12-16,2006-01-01,18279
Abdiel,,,RN,Commonwealth,1967-10-17,1988-01-01,7381
Abdiel,Destroyer Leader,Marksman,RN,Commonwealth,1916-03-26,1936-01-01,7220
Abdiel,Minelayer,Abdiel,RN,Commonwealth,1941-04-15,1943-09-10,878
Abeille,,,RN,Commonwealth,1793-11-12,1798-01-01,1511
Abel P. Upshur,Destroyer,Clemson,USN,Usa,1920-11-23,1940-09-09,7230
Abelard,Submarine,,RN,Commonwealth,,,
Abelard,Submarine,A,RN,Commonwealth,,,
Abele,Net Tender,Ailanthus,USN,Usa,1944-06-02,1946-03-01,637
Abele,Netlayer,Ailanthus,USN,Usa,1944-06-02,1946-03-01,637
Abelia,Corvette,Flower,RN,Commonwealth,1941-02-03,,
Abeona,,,USN,Usa,1865-04-10,1865-08-04,116
Abercrombie,Destroyer Escort,John C. Butler,USN,Usa,1944-05-01,1946-06-15,775
Abercrombie,Monitor,Roberts,RN,Commonwealth,1943-05-05,,
Abercrombie,Ship Of The Line,Téméraire,RN,Commonwealth,1807-09-02,1817-01-01,3409
Abercrombie,Monitor,Abercrombie,RN,Commonwealth,1915-05-01,1927-01-01,4263
Aberdare,Minesweeper,Hunt,RN,Commonwealth,1918-10-03,1947-01-01,10317
Aberdare,Minesweeper,Hunt,RN,Commonwealth,1918-10-03,,
Aberdeen,Sloop,Grimsby,RN,Commonwealth,1936-09-17,1948-01-01,4123
Aberdeen,,,USN,Usa,1912-01-01,,
Aberdeen,Sloop,Grimsby,RN,Commonwealth,1936-09-17,,
Aberford,Seaward Defence Boat,Ford,RN,Commonwealth,1952-09-23,1971-01-01,6674
Aberfoyle,,,RN,Commonwealth,,,
Abergavenny,Fourth Rate,,RN,Commonwealth,1789-08-24,1807-01-01,6338
Abigail,Fireship,,RN,Commonwealth,1666-01-01,1666-01-01,0
Abigail,Cutter,,RN,Commonwealth,1812-01-01,1814-01-01,731
Abilene,Frigate,Tacoma,USN,Usa,1944-10-28,1946-08-21,662
Ability,,,USN,Usa,1944-04-01,1981-01-01,13424
Ability,Minesweeper,Ability,USN,Usa,1958-08-04,1970-06-01,4319
Ability,Patrol Boat,,USN,Usa,1942-09-28,1944-09-29,732
Abinago,,Pessacus,USN,Usa,1944-12-22,1975-01-01,10967
Abingdon,Minesweeper,Hunt,RN,Commonwealth,1918-06-11,1950-01-01,11527
Abingdon,,Pc-461,USN,Usa,1943-07-26,1949-10-01,2259
Abingdon,Minesweeper,Hunt,RN,Commonwealth,1918-11-06,1942-04-05,8551
Abiqua,,Suamico,USN,Usa,1943-10-31,,
Able,Survey Ship,Victorious,USN,Usa,1991-02-16,,
Abnaki,,Abnaki,USN,Usa,1943-11-25,1978-09-30,12728
Abnaki,Fleet Tug,Abnaki,USN,Usa,1943-11-15,1978-09-30,12738
Abner Read,Destroyer,Fletcher,USN,Usa,1943-02-05,1944-11-01,635
Aboukir,Armoured Cruiser,Cressy,RN,Commonwealth,1900-05-16,1914-01-01,4978
Aboukir,Second Rate Ship Of The Line,Albion,RN,Commonwealth,1848-04-04,1877-01-01,10499
Aboukir,Ship Of The Line,Lengthened Courageux,RN,Commonwealth,1807-11-18,1838-01-01,11002
Abraham,,,RN,Commonwealth,,,
Abraham,,,USN,Usa,1858-01-01,1869-01-01,4018
Abraham Crijnssen,Minesweeper,Jan van Amstel,RAN,Commonwealth,1942-08-26,1943-05-04,251
Abraham Lincoln,Aircraft Carrier,Nimitz,USN,Usa,1989-11-11,,
Abraham Lincoln,Submarine,George Washington,USN,Usa,1961-03-11,1981-02-28,7294
Abrams Offering,,,RN,Commonwealth,,,
Absaroka,,,USN,Usa,1918-09-17,1919-03-04,168
Absecon,Seaplane Tender,Barnegat,USN,Usa,1943-01-28,1947-03-19,1511
Absecon,,Tuckahoe,USN,Usa,1918-03-23,1962-01-01,15990
Absecon,Frigate,Tran Quang Khai,USN,Usa,1972-01-01,1972-05-09,129
