name,gender,NI_appFrac,NI_avgVal,SC_appFrac,SC_avgVal,EW_appFrac,EW_avgVal,UK_appFrac,UK_avgVal
A,M,0.0,0.0,0.167,1.86,0.3,7.22,0.156,3.027
AABAN,M,0.0,0.0,0.048,1.0,0.267,10.87,0.105,3.957
AABAS,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AABDAA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AABEER,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AABIA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AABID,M,0.0,0.0,0.0,0.0,0.2,3.83,0.067,1.277
AABIDAH,F,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
AABIDAMMAR,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AABIRHA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AABISH,F,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
AABIYAH,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AADAL,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AADAM,M,0.0,0.0,0.548,1.96,0.633,73.58,0.394,25.18
AADAN,M,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
AADARSH,M,0.0,0.0,0.0,0.0,0.1,3.67,0.033,1.223
AADELL,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AADEN,M,0.0,0.0,0.143,1.33,0.1,4.0,0.081,1.777
AADEN,F,0.0,0.0,0.048,1.0,0.0,0.0,0.016,0.333
AADESH,M,0.0,0.0,0.0,0.0,0.033,4.0,0.011,1.333
AADHAM,M,0.0,0.0,0.0,0.0,0.1,3.0,0.033,1.0
AADHAV,M,0.0,0.0,0.0,0.0,0.1,4.67,0.033,1.557
AADHEEN,M,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
AADHI,M,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
AADHIRA,F,0.0,0.0,0.024,1.0,0.033,4.0,0.019,1.667
AADHISH,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AADHITHYA,M,0.0,0.0,0.024,1.0,0.033,3.0,0.019,1.333
AADHVIK,M,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
AADHYA,F,0.0,0.0,0.071,1.67,0.167,19.0,0.079,6.89
AADI,M,0.0,0.0,0.095,1.0,0.367,12.64,0.154,4.547
AADIDEV,M,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
AADIL,M,0.0,0.0,0.405,1.35,0.633,27.63,0.346,9.66
AADILA,F,0.0,0.0,0.048,1.0,0.033,3.0,0.027,1.333
AADISHIV,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AADIT,M,0.0,0.0,0.048,1.0,0.233,5.71,0.094,2.237
AADITH,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AADITIYA,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AADITRI,F,0.0,0.0,0.024,1.0,0.033,3.0,0.019,1.333
AADITYA,M,0.0,0.0,0.0,0.0,0.433,7.15,0.144,2.383
AADITYARAM,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AADM,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AADVIK,M,0.0,0.0,0.048,1.0,0.067,6.0,0.038,2.333
AADVIKA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
AADYA,F,0.0,0.0,0.095,1.5,0.3,11.89,0.132,4.463
AADYA,M,0.0,0.0,0.0,0.0,0.067,3.5,0.022,1.167
